customer_visible_field,after_sent_to_customer,after_approved,after_rejected,after_expired,after_withdrawn(cancelled),after_invoiced
line items (quantity/unit_price/line_total),immutable (ITEM_EDITABLE_QUOTE_STATUSES excludes sent_to_customer -- 2F-16),immutable (locked_at + status exclusion),immutable (status exclusion -- 2F-16 fix closed this specific gap),immutable (status not in ITEM_EDITABLE_QUOTE_STATUSES -- no writer reaches expired at all, so moot),immutable (status exclusion -- 2F-16 fix),n/a (invoice is a separate record; quote items are already immutable by the time an invoice can be created since customer_approved is required)
tax/discount (quote-level, derived from items),immutable (same item-lock mechanism),immutable,immutable,immutable,immutable,n/a
currency,immutable (no writer ever changes currency after creation -- hardcoded INR),same,same,same,same,same
customer_visible_notes,mutable via staff_send_to_customer's own customer_notes param on RE-send only -- but re-send is not a legal transition from sent_to_customer (QUOTE_TRANSITIONS[QS_SENT_TO_CUSTOMER] does not include QS_SENT_TO_CUSTOMER itself),immutable,immutable,immutable,immutable,n/a
customer-visible checklist answers,n/a -- no customer-facing checklist route/decision exists in this module,n/a,n/a,n/a,n/a,n/a
customer-visible evidence (media_url on checklist items),n/a -- checklist is provider-internal only (no customer read route),n/a,n/a,n/a,n/a,n/a
job/customer association (quote.job_id/customer_id),immutable from creation (no writer ever reassigns -- see complete-quote-mutation-field-matrix.csv),same,same,same,same,same
total (labour+parts+service-discount+tax),immutable (derived from immutable items once locked),immutable,immutable,immutable,immutable,invoice total independently derived once, from the SAME immutable item set (2F-16A lineage fix)
decision (approved/rejected/revision-requested),n/a (not yet decided),immutable -- QUOTE_TRANSITIONS[QS_CUSTOMER_APPROVED] == set() (cannot be overwritten),immutable -- QUOTE_TRANSITIONS[QS_CUSTOMER_REJECTED] == set(),immutable -- QUOTE_TRANSITIONS[QS_EXPIRED] == set() (moot, unreachable),immutable -- QUOTE_TRANSITIONS[QS_CANCELLED] == set(),n/a
invoice source (quote_id on the ServiceInvoice),n/a,n/a,n/a,n/a,n/a,immutable -- no writer ever reassigns ServiceInvoice.quote_id after creation (confirmed by source grep)
