route,built,notes
/dev/ux-04,YES,index page linking the 5 built routes
/dev/ux-04/command-center,YES,Operations Command Center
/dev/ux-04/booking-list,YES,combined Booking+Job list
/dev/ux-04/job-detail,YES,Job Detail Workspace (ServiceJob)
/dev/ux-04/assignment-workspace,YES,Assignment/Dispatch Workspace
/dev/ux-04/parts-approval,YES,Parts Request Approval
/dev/ux-04/booking-detail,NO,type BookingDetailView ready; route deferred
/dev/ux-04/job-detail-field-ops,NO,field_ops.Job detail variant deferred
/dev/ux-04/status-transition,NO,rendered inline in job-detail; no standalone route
/dev/ux-04/inspection,NO,type InspectionView ready; no fixture/route
/dev/ux-04/quote,NO,rendered inline in job-detail; no standalone route
/dev/ux-04/checklist-execution,NO,mode="technician_execution" not yet used in a route
/dev/ux-04/checklist-review,NO,mode="provider_review" only shown inline in job-detail
/dev/ux-04/parts-list,NO,only the approval variant was built
/dev/ux-04/invoice-payment,NO,type InvoiceView ready; no route
/dev/ux-04/credit-commission,NO,rendered inline in job-detail; no standalone route
/dev/ux-04/customer-communication,NO,rendered inline in job-detail; no standalone route
/dev/ux-04/complaints,NO,type ComplaintDetailView ready; no fixture/route
/dev/ux-04/dispute,NO,type DisputeView ready; no fixture/route
/dev/ux-04/compliance-submission,NO,type ComplianceSubmissionView ready; no fixture/route
/dev/ux-04/media,NO,no EvidenceGallery component or route
/dev/ux-04/sla-risk-gallery,NO,SLAIndicator used inline only; no states gallery
/dev/ux-04/operational-exceptions,NO,OperationalRiskBanner built, not embedded in a route
/dev/ux-04/staff-operational-home,NO,composition-only gap, no new type/component needed
/dev/ux-04/read-only-operations,NO,composition-only gap, no new type/component needed
/dev/ux-04/restricted-action-states,NO,covered ad hoc inside parts-approval; no dedicated gallery
