route,persona_class,tenant_facing_mutation,rationale
booking_preflight,QUERY_NO_PERSISTENCE,NO,"POST-verb only because it accepts a request body; zero db.add/db.commit calls in run_booking_preflight (confirmed via direct source read); FALSE_POSITIVE exemption added to runtime tool"
create_booking,DUAL_CUSTOMER_TENANT_MUTATION,YES,"BOOKING_CREATE granted to both customer and tenant_owner in ROLE_PERMISSIONS; require_tenant_mutation_permission admits both, denies only read-only tenant scope"
cancel_booking,DUAL_CUSTOMER_TENANT_MUTATION,YES,"BOOKING_CANCEL granted to both customer and tenant_owner"
confirm_booking,TENANT_ONLY_MUTATION,YES,"BOOKING_MANAGE granted to tenant_owner only -- provider operational acceptance"
reject_booking,TENANT_ONLY_MUTATION,YES,"BOOKING_MANAGE granted to tenant_owner only"
convert_to_job,TENANT_ONLY_MUTATION,YES,"BOOKING_MANAGE granted to tenant_owner only"
request_reschedule,DUAL_CUSTOMER_TENANT_MUTATION,YES,"BOOKING_RESCHEDULE granted to both customer and tenant_owner"
accept_reschedule,TENANT_ONLY_MUTATION,YES,"TENANT_UPDATE granted to tenant_owner only (not customer, not staff/technician)"
reject_reschedule,TENANT_ONLY_MUTATION,YES,"TENANT_UPDATE granted to tenant_owner only"
add_note,TENANT_ONLY_MUTATION_STAFF_PLUS,YES,"No live customer caller found for this route (only tenant-portal bookingsApi.addNote); gated provider-only (tenant_owner/staff/technician), matching the field_ops add_note precedent"
void_booking,PLATFORM_ADMIN_ONLY_MUTATION,NO,"require_super_admin; internal/platform operation, not a tenant-facing mutation"
