method,path,side_effect,mutated_resource,capability_family,capability_action,persona,tenant_direction,in_denominator,protection,canonical_expectation,manual_confidence,abstention_reason
POST,/v1/tenants/{tenant_id}/data/export,DATABASE_MUTATION,TenantExportJob,tenant_governance,export,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,DATABASE_MUTATION,TenantEngine,tenant_governance,activate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/suspend,DATABASE_MUTATION,Tenant,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
PUT,/v1/tenants/{tenant_id},DATABASE_MUTATION,Tenant,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,ServiceMapping,geography_serviceability,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
GET,/v1/ds/tenants/{tenant_id}/churn/factors,PURE_READ,,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT,no,UNPROTECTED_READ_PRIVACY,no_row_read_only,HIGH,
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,DATABASE_MUTATION,LTVSnapshot,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT,no,UNPROTECTED_READ_PRIVACY,no_row_read_only,HIGH,
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,PURE_READ,,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT,no,UNPROTECTED_READ_PRIVACY,no_row_read_only,HIGH,
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,PricingZone,pricing,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,DATABASE_MUTATION,WalletPurchase,package_commerce,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,DATABASE_MUTATION,PricingRule,analytics,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/payments/tenants/{tenant_id}/payout,DATABASE_MUTATION,Payout,billing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},DATABASE_MUTATION,NotificationChannelConfig,notification,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
DELETE,/v1/me/profile-photo,DATABASE_MUTATION,UserProfilePhoto,media,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/appointments/hold,DATABASE_MUTATION,AppointmentHold,booking,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/auth/logout,DATABASE_MUTATION,Session,identity_access,create,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
POST,/v1/bookings,DATABASE_MUTATION,Booking,booking,create,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
