route,primary_gap,secondary_gap
create_brand_request,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
set_supported_brands,SCOPE_WITHOUT_OBJECT_OWNERSHIP,CHILD_PARENT_OWNERSHIP_MISSING (service_id parent not re-verified)
update_business_profile,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
submit_business_profile_for_review,SCOPE_WITHOUT_OBJECT_OWNERSHIP,STATE_TRANSITION_UNVERIFIED
provider_create_thread,AUTHENTICATED_ONLY,CROSS_TENANT_IDOR (any authenticated user can create a thread naming any recipient)
provider_send_message,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR (no thread-membership check confirmed)
provider_mark_thread_read,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR
withdraw_consent,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
customer_tenant_response,SCOPE_WITHOUT_OBJECT_OWNERSHIP,CHILD_PARENT_OWNERSHIP_MISSING (request_id parent tenant match unverified)
create_my_request,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
cancel_my_request,SCOPE_WITHOUT_OBJECT_OWNERSHIP,CHILD_PARENT_OWNERSHIP_MISSING
generate_export,SCOPE_WITHOUT_OBJECT_OWNERSHIP,FINANCIAL_SIDE_EFFECT_UNVERIFIED (export generation cost/rate-limit unverified)
staff_tenant_response,SCOPE_WITHOUT_OBJECT_OWNERSHIP,CHILD_PARENT_OWNERSHIP_MISSING
preview_matching_inputs,FALSE_POSITIVE,
update_asset_provider_notes,AUTHENTICATED_ONLY,CHILD_PARENT_OWNERSHIP_MISSING (asset_id tenant match unverified)
generate_launch_campaign,AUTHENTICATED_ONLY,
submit_campaign_review,AUTHENTICATED_ONLY,STATE_TRANSITION_UNVERIFIED
provider_mark_all_read,AUTHENTICATED_ONLY,
provider_update_pref,AUTHENTICATED_ONLY,
provider_mark_read,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR (notification_id ownership unverified)
upload_provider_logo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
remove_provider_logo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
upload_provider_shop_photo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
remove_provider_shop_photo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
provider_run_report,AUTHENTICATED_ONLY,
flag_review,AUTHENTICATED_ONLY,CROSS_TENANT_IDOR (any authenticated user could flag any review)
submit_reply,AUTHENTICATED_ONLY,PROVIDER_IMPERSONATION (any authenticated user could reply as the provider on a review not theirs)
provider_issue_invoice,ALREADY_PROTECTED_MISCLASSIFIED,
provider_record_payment,ALREADY_PROTECTED_MISCLASSIFIED,
provider_setup_recommendations,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
set_supported_options,SCOPE_WITHOUT_OBJECT_OWNERSHIP,CHILD_PARENT_OWNERSHIP_MISSING
staff_send_message,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR
staff_mark_thread_read,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR
staff_mark_all_read,AUTHENTICATED_ONLY,
staff_mark_read,AUTHENTICATED_ONLY,SAME_TENANT_CROSS_OBJECT_IDOR
update_staff_profile,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
upload_staff_profile_photo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
remove_staff_profile_photo,SCOPE_WITHOUT_OBJECT_OWNERSHIP,
staff_create_invoice,ALREADY_PROTECTED_MISCLASSIFIED,
staff_add_invoice_item,ALREADY_PROTECTED_MISCLASSIFIED,
tenant_purchase_package,SCOPE_WITHOUT_OBJECT_OWNERSHIP,FINANCIAL_SIDE_EFFECT_UNVERIFIED (package purchase amount/entitlement trust unverified)
