combination,classification,evidence
Valid booking + matching customer + matching service,VALID_CREATION_MODE,test_matching_booking_customer_service_succeeds
Valid booking + foreign customer,CROSS_FIELD_MISMATCH_REJECTED (CUSTOMER_BOOKING_MISMATCH),test_customer_booking_mismatch_rejected
Valid booking + different same-tenant customer,CROSS_FIELD_MISMATCH_REJECTED (CUSTOMER_BOOKING_MISMATCH -- same check regardless of the mismatched customer's tenant),test_customer_booking_mismatch_rejected
Valid booking + different service,CROSS_FIELD_MISMATCH_REJECTED (SERVICE_BOOKING_MISMATCH),test_service_booking_mismatch_rejected
Valid booking + parent from another Job,UNSUPPORTED_COMBINATION -- not independently tested; both booking and parent are independently cross-checked against their OWN customer/service, not against each other,supported-creation-modes.md "Ambiguous mixtures"
Valid booking + unrelated same-tenant parent,UNSUPPORTED_COMBINATION -- same reasoning as above,supported-creation-modes.md
Parent Job + matching customer,VALID_CREATION_MODE,test_matching_parent_customer_succeeds
Parent Job + different customer,CROSS_FIELD_MISMATCH_REJECTED (CUSTOMER_PARENT_JOB_MISMATCH),test_customer_parent_mismatch_rejected
Parent Job + different service,VALID_CREATION_MODE (REPAIR_SERVICE_MAY_DIFFER_BY_POLICY -- intentionally allowed),test_different_repair_service_from_consultation_allowed
Booking and parent both supplied,MUTUALLY_EXCLUSIVE_FIELDS -- NOT enforced as such; PRODUCT_DECISION_REQUIRED,product-decisions-required.md
Neither booking nor parent supplied,VALID_CREATION_MODE (MANUAL_PROVIDER_JOB),supported-creation-modes.md
Customer supplied without booking/parent,VALID_CREATION_MODE (PROVIDER_SELECTED_EXISTING_CUSTOMER),customer-authority.md
Service supplied without booking/parent,VALID_CREATION_MODE,pre-existing (2F-14C)
Missing customer,VALID_CREATION_MODE -- customer_id is optional; Job created with customer_id=None,create-job-contract.md
Missing service,INTEGRITY_DEFECT_-- NOT APPLICABLE: service_type_id is a required field (KeyError if omitted entirely; empty string skips ownership validation but is still accepted -- see known-limitations.md),create-job-request-field-inventory.csv (2F-14C)
Duplicate booking-to-Job creation,DUPLICATE_REJECTED (JOB_ALREADY_EXISTS_FOR_BOOKING),test_already_converted_booking_rejected / test_duplicate_job_for_booking_rejected
Duplicate parent-to-child creation (CONSULTATION->REPAIR),DUPLICATE_REJECTED (CONSULTATION_ALREADY_CONVERTED),test_duplicate_repair_from_consultation_rejected
Duplicate parent-to-child creation (other job_type combinations),DUPLICATE_ALLOWED_BY_POLICY (MULTIPLE_CHILDREN_ALLOWED),test_second_non_repair_child_from_same_parent_allowed
Parent cycle attempt,UNSUPPORTED_COMBINATION -- structurally impossible (new Job has no id yet at validation time); no chain-walking logic exists to be corrupted by an indirect cycle,parent-job-relational-consistency.md
