record_type,status,customer_ownership_result,check_eligible_result,create_complaint_result_before_fix,create_complaint_result_after_fix,disposition
service_booking,completed,owned,eligible,allowed (ownership-only check),allowed,CREATION_ALLOWED
service_booking,payment_collected,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_booking,paid,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_booking,cancelled,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_booking,failed,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_booking,quote_rejected,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_booking,draft,owned,ineligible (status not in ELIGIBLE_STATUSES),allowed (BYPASS -- pre-fix defect),rejected (COMPLAINT_NOT_ELIGIBLE),CREATION_REJECTED
service_booking,pending,owned,ineligible,allowed (BYPASS -- pre-fix defect),rejected,CREATION_REJECTED
service_booking,confirmed,owned,ineligible,allowed (BYPASS -- pre-fix defect),rejected,CREATION_REJECTED
service_booking,in_progress,owned,ineligible,allowed (BYPASS -- pre-fix defect),rejected,CREATION_REJECTED
service_job,completed,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_job,work_done,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_job,invoice_issued,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_job,paid,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_job,cancelled,owned,eligible,allowed,allowed,CREATION_ALLOWED
service_job,(any status not in ELIGIBLE_STATUSES[service_job] -- e.g. an in-progress/pre-completion status),owned,ineligible,allowed (BYPASS -- pre-fix defect),rejected,CREATION_REJECTED
service_job,"(mission-listed 'assigned'/'dispatched'/'on_the_way' not confirmed as actual ServiceJob status enum values in this repo -- not asserted as real states, per instruction not to invent states absent from the linked model)",n/a,n/a,n/a,n/a,DISCONNECTED_STATE (mission-illustrative only, unconfirmed in repo)
any,any,not owned (foreign customer),ineligible (ERR_COMPLAINT_ACCESS_DENIED),rejected (Slice 2F-10 ownership fix already closed this),rejected,OWNERSHIP_REJECTED
any,any,owned,ineligible (window expired),allowed (BYPASS -- pre-fix defect),rejected (COMPLAINT_WINDOW_EXPIRED),WINDOW_EXPIRED
any,any,owned,ineligible (duplicate open complaint exists),allowed (BYPASS -- pre-fix defect),rejected (COMPLAINT_DUPLICATE_OPEN),DUPLICATE_REJECTED
service_invoice,issued/paid/overdue/cancelled,owned,eligible,allowed,allowed,CREATION_ALLOWED
coaching_appointment,completed/no_show/cancelled,owned,eligible,allowed,allowed,CREATION_ALLOWED
real_estate_lead,accepted/contacted/follow_up/site_visit_planned/site_visit_completed/closed_lost/converted,owned,eligible,allowed,allowed,CREATION_ALLOWED
customer_review,approved/rejected/hidden,owned,eligible,allowed,allowed,CREATION_ALLOWED
