status,create_job_accepts_before_this_slice,convert_to_job_accepts,another_job_may_already_exist,customer_service_final,cancelled_rejected_expired,disposition
draft,yes (defect),no,no,no,no,JOB_CREATION_REJECTED (fixed this slice)
pending_confirmation,yes (defect),no,no,no,no,JOB_CREATION_REJECTED (fixed this slice)
pending,yes (defect),no,no,no,no,JOB_CREATION_REJECTED (fixed this slice)
confirmed,yes,yes,no,yes,no,JOB_CREATION_ALLOWED
rejected,yes (defect),no,no,yes,yes,JOB_CREATION_REJECTED (fixed this slice)
converted_to_job,yes (defect -- also independently caught by the pre-existing converted_job_id duplicate check),no,yes,yes,no,DUPLICATE_REJECTED (already fixed 2F-14D; also now JOB_CREATION_REJECTED via status check)
scheduled,yes (defect),no,no,yes,no,JOB_CREATION_REJECTED (fixed this slice)
dispatching,yes (defect),no,no,yes,no,JOB_CREATION_REJECTED (fixed this slice)
in_progress,yes (defect),no,no,yes,no,JOB_CREATION_REJECTED (fixed this slice)
completed,yes (defect),no,no,yes,yes (terminal),JOB_CREATION_REJECTED (fixed this slice)
cancelled,yes (defect),no,no,yes,yes,CANCELLED_SOURCE_REJECTED (fixed this slice)
expired,yes (defect),no,no,yes,yes,EXPIRED_SOURCE_REJECTED (fixed this slice)
voided,yes (defect),no,no,yes,yes,JOB_CREATION_REJECTED (fixed this slice)
