file,category
frozen-scope-verification.md,scope
per-module-runtime-inventory.csv,scope
per-module-authority-contract.csv,authority
held-route-adjudication.csv,authority
mutation-scope-enforcement-report.md,authority
principal-tenant-authority-audit.csv,authority
object-parent-ownership-audit.csv,authority
service-layer-enforcement-audit.csv,authority
destructive-integrity-audit.csv,integrity
security-sensitive-capability-audit.csv,integrity
external-side-effect-audit.csv,integrity
connected-read-error-privacy-audit.csv,privacy
secret-token-redaction-report.md,privacy
alternate-route-bypass-audit.csv,privacy
internal-caller-preservation.csv,privacy
live-evidence-report.md,evidence
per-module-route-protection-before-after.csv,evidence
held-registry-before-after.csv,evidence
canonical-row-diff.csv,evidence
mutation-enforcement-matrix-diff.csv,evidence
canonical-coverage-arithmetic.csv,arithmetic
held-candidate-arithmetic.md,arithmetic
current-canonical-coverage.md,arithmetic
per-module-status-report.md,status
m01-non-regression-report.md,regression
n01-non-regression-report.md,regression
geo-non-regression-report.md,regression
closed-module-canary-report.md,regression
slice-2f35-verifier-spec.md,verification
slice-2f35-verification-report.md,verification
verifier-negative-fixture-report.md,verification
targeted-test-report.md,test
behavioral-invariant-report.md,test
baseline-freeze-evidence.md,regression
implementation-summary.md,summary
deterministic-test-report.md,regression
regression-comparison.csv,regression
environment-test-evidence.md,regression
regression-report.md,regression
product-decisions-required.md,disclosure
known-limitations.md,disclosure
deferred-items.md,disclosure
documentation-corrections.md,disclosure
test-quality-report.md,test
test-report.md,test
approval-gate.md,status
artifact-manifest.csv,manifest
