canonical_row_key,method,path,mounted,module_match,endpoint_match,genuine_mutation,persona_correct,dependency_chain_current,persistence_model_correct,alternate_routes_inventoried,protection_status_matches_runtime,runtime_guard_status,classification
R-02,POST,/v1/provider/brands/requests,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-03,POST,/v1/provider/brands/services/{service_id}/supported,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-04,PUT,/v1/provider/business-profile,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-05,POST,/v1/provider/business-profile/submit-review,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-12,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-13,POST,/v1/provider/marketing/campaigns/generate-launch,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-14,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-15,POST,/v1/provider/profile/logo,YES,YES,YES,YES,YES,YES,YES,"YES (5 sibling routes in same router, all inventoried)",YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-16,DELETE,/v1/provider/profile/logo,YES,YES,YES,YES,YES,YES,YES,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-17,POST,/v1/provider/profile/shop-photo,YES,YES,YES,YES,YES,YES,YES,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-18,DELETE,/v1/provider/profile/shop-photo,YES,YES,YES,YES,YES,YES,YES,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-19,POST,/v1/provider/reports/run,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-20,POST,/v1/provider/reviews/{review_id}/flag,YES,YES,YES,YES,YES,YES,YES,YES (sibling R-21 in same router),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-21,POST,/v1/provider/reviews/{review_id}/reply,YES,YES,YES,YES,YES,YES,YES,YES (sibling R-20 in same router),YES,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,GENUINE_UNPROTECTED_TENANT_MUTATION
R-22,POST,/v1/provider/setup/recommendations,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-23,POST,/v1/provider/setup/services/{service_id}/supported-options,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-24,PUT,/v1/staff/profile,YES,YES,YES,YES,YES,YES,YES,YES (none found),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-25,POST,/v1/staff/profile/photo,YES,YES,YES,YES,YES,YES,YES,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-26,DELETE,/v1/staff/profile/photo,YES,YES,YES,YES,YES,YES,YES,YES,YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
R-27,POST,/v1/tenant/packages/{package_id}/purchase,YES,YES,YES,YES,YES,YES,YES,YES (confirmed sole POST/PUT/PATCH/DELETE route in tenant_router.py by grep),YES,PERMISSION_ONLY_NOT_SCOPE_AWARE,GENUINE_UNPROTECTED_TENANT_MUTATION
