group,id,label,href,canonical_roles,staff_permission_key,readiness,read_only_behavior,mobile_behavior
overview,ux03-dashboard,Dashboard,/dashboard,"tenant_owner,staff,technician",,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
setup,ux03-setup-wizard,Business Setup,/tenant/setup,tenant_owner,,MOCK_DESIGN_ONLY,hidden,full
setup,ux03-profile,Business Profile,/profile,"tenant_owner,staff",settings:read,READ_ONLY_READY,visible_read_only_view,collapsed_summary
team,ux03-team-list,Team Members,/provider/staff,"tenant_owner,staff",,READ_ONLY_READY,visible_read_only_view,full
team,ux03-team-permissions,Permission Editor,/provider/staff/[id]/permissions,tenant_owner,auth:permissions:manage,MOCK_DESIGN_ONLY,hidden,collapsed_summary
services,ux03-catalog,Service Catalog,/provider/services,"tenant_owner,staff",settings:read,READ_ONLY_READY,visible_read_only_view,full
services,ux03-pricing,Pricing,/provider/pricing,tenant_owner,,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
areas,ux03-service-areas,Service Areas,/provider/service-areas,tenant_owner,tenant_service_area:update,PRODUCT_DECISION_REQUIRED,visible_read_only_view,collapsed_summary
bookings,ux03-bookings-list,Bookings,/bookings,"tenant_owner,staff,technician",booking:bookings:read,READ_ONLY_READY,visible_read_only_view,full
jobs,ux03-jobs-list,Jobs,/service-jobs,"tenant_owner,staff,technician",field_ops:jobs:read,READ_ONLY_READY,visible_read_only_view,full
jobs,ux03-dispatch,Assignment / Dispatch,/dispatch,"tenant_owner,staff",field_ops:jobs:assign,MOCK_DESIGN_ONLY,hidden,collapsed_summary
customers,ux03-customers,Customers,/customers,"tenant_owner,staff",,READ_ONLY_READY,visible_read_only_view,full
quotes,ux03-quotes,Quotes,/service-jobs/[id]#quote,"tenant_owner,staff,technician",field_ops:quotes:manage,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
parts,ux03-parts,Parts Requests,/service-jobs/[id]#parts,"tenant_owner,staff,technician",inventory:items:write,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
finance,ux03-finance-package,Package & Credits,/finance/package,tenant_owner,,READ_ONLY_READY,visible_read_only_view,collapsed_summary
finance,ux03-finance-history,Finance History,/finance/usage-credit-ledger,tenant_owner,,READ_ONLY_READY,visible_read_only_view,collapsed_summary
finance,ux03-security-deposit,Security Deposit,/finance/security-deposit,tenant_owner,,READ_ONLY_READY,visible_read_only_view,collapsed_summary
complaints,ux03-complaints,Complaints,/reviews,"tenant_owner,staff",,READ_ONLY_READY,visible_read_only_view,full
compliance,ux03-compliance,Compliance,/provider/compliance,tenant_owner,,READ_ONLY_READY,visible_read_only_view,collapsed_summary
media,ux03-media,Media,/media,"tenant_owner,staff",field_ops:photos:create,READ_ONLY_READY,visible_read_only_view,collapsed_summary
reports,ux03-reports,Reports,/reports,tenant_owner,field_ops:reports:read,READ_ONLY_READY,visible_read_only_view,collapsed_summary
settings,ux03-settings,Settings,/settings,tenant_owner,,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
audit,ux03-audit,Activity,/activity,tenant_owner,,MOCK_DESIGN_ONLY,visible_read_only_view,collapsed_summary
