method,path,before,after
POST,/v1/serviceability/check,PENDING_MODULE_ADJUDICATION,READ_ONLY_EXCLUDE (final)
POST,/v1/chat/conversations/{conversation_id}/messages,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/inventory/tenants/{tenant_id}/items,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/inventory/reservations,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/inventory/reservations/confirm,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/inventory/reservations/release,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/bookings,PENDING_MODULE_ADJUDICATION,CUSTOMER_SELF_SERVICE_EXCLUDE (final -- already protected, excluded from tenant-only CSV)
POST,/v1/appointments/{appointment_id}/confirm,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/appointments/{appointment_id}/cancel,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/appointments/{appointment_id}/reschedule,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/appointments/{appointment_id}/no-show,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/appointments/staff/{staff_id}/calendar/block,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
DELETE,/v1/appointments/calendar/blocks/{block_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/appointments/staff/{staff_id}/working-hours,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/catalog,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/catalog/{item_id},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/dispatch/jobs/{job_id}/dispatch,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/dispatch/jobs/{job_id}/reassign,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
GET,/v1/ds/tenants/{tenant_id}/churn/score,PENDING_MODULE_ADJUDICATION,READ_ONLY_EXCLUDE (final)
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,PENDING_MODULE_ADJUDICATION,READ_ONLY_EXCLUDE (final)
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/settings/tenants/{tenant_id}/{key},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
DELETE,/v1/settings/tenants/{tenant_id}/{key},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},PENDING_MODULE_ADJUDICATION,TENANT_PROVIDER_MUTATION_ADD (final -- canonical + protected)
