method,path,endpoint,source_module,guard_status,canonical_row,module,primary_gap,secondary_gaps,provenance
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M07_provider_catalog_setup,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M07_provider_catalog_setup,role gate without mutation access-scope enforcement,,2F-26/earlier
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M04_profile_self_service,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M04_profile_self_service,role gate without mutation access-scope enforcement,,2F-26/earlier
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M05_marketing_automation,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M05_marketing_automation,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M05_marketing_automation,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M08_analytics_reports,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M07_provider_catalog_setup,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M07_provider_catalog_setup,role gate without mutation access-scope enforcement,,2F-26/earlier
