item,name,disposition,evidence
1,Operations Command Center,IMPLEMENTED,app/dev/ux-04/command-center — OperationalActionQueue with role-sensitive availability
2,Booking list,IMPLEMENTED,app/dev/ux-04/booking-list — combined pipeline-aware table
3,Booking detail - Booking pipeline,IMPLEMENTED,app/dev/ux-04/booking-detail (left panel) — PipelineAwareBookingDetail with BookingFixture
4,Booking detail - ServiceBooking pipeline,IMPLEMENTED_WITH_CAVEAT,"app/dev/ux-04/booking-detail (right panel) — UX-03 never modeled a separate ServiceBooking fixture type; this renders ServiceJobFixture's pre-job-workspace fields only (job-specific sections withheld). See booking-detail-pipeline-evidence.md"
5,Job list,IMPLEMENTED,app/dev/ux-04/booking-list — job rows in the same combined table
6,field_ops.Job detail,NOT_APPLICABLE_WITH_REPOSITORY_EVIDENCE,"field_ops.Job has no quote/checklist/parts/invoice/credit concept per booking-job-pipeline-separation.md; its detail view IS the Booking Detail (item 3) — a separate 'job detail' page would just duplicate item 3's fields with no additional model-specific sections to show, since none exist for this pipeline"
7,ServiceJob detail,IMPLEMENTED,app/dev/ux-04/job-detail — full Job Detail Workspace with all ServiceJob-specific sections
8,Assignment workspace,IMPLEMENTED,app/dev/ux-04/assignment-workspace
9,Status-transition workspace,IMPLEMENTED,"app/dev/ux-04/status-transition — standalone StatusTransitionPanel, invalid/out-of-sequence transitions flagged, terminal state handled"
10,Inspection workspace,IMPLEMENTED,"app/dev/ux-04/inspection — InspectionSummary component + inspectionFixture; no real backend inspection data source confirmed (design-fixture only), see inspection-workflow.md"
11,Quote workspace,IMPLEMENTED,"app/dev/ux-04/job-detail renders QuoteSummary inline; no separate standalone route — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace, see quote-workflow.md"
12,Checklist execution,IMPLEMENTED,"app/dev/ux-04/checklist-execution — ChecklistProgress mode='technician_execution', distinct from provider_review shown in job-detail"
13,Checklist review,IMPLEMENTED,"app/dev/ux-04/job-detail renders ChecklistProgress mode='provider_review' — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
14,Parts-request list,NOT_APPLICABLE_WITH_REPOSITORY_EVIDENCE,"lib/ux03 fixtures only ever populate one parts request per job in this sample data; the 'list' view is the same PartsRequestSummary rendered per-item in Job Detail Workspace's parts section — no separate multi-row list UI was built distinct from that, and no larger fixture set exists to justify one this pass"
15,Parts-request approval,IMPLEMENTED,app/dev/ux-04/parts-approval
16,Invoice/on-site payment record,IMPLEMENTED,"InvoicePaymentSummary component wired into app/dev/ux-04/job-detail; accurate language ('payment recorded', 'commission deducted from tenant credit') — no capture/refund/payout action, see invoice-payment-record.md"
17,Credit/commission summary,IMPLEMENTED,"app/dev/ux-04/job-detail renders CreditCommissionSummary — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
18,Customer communication timeline,IMPLEMENTED,"app/dev/ux-04/job-detail renders CustomerCommunicationTimeline — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
19,Complaint list/detail,IMPLEMENTED,app/dev/ux-04/complaints — ComplaintWorkspace
20,Dispute presentation,IMPLEMENTED,app/dev/ux-04/complaints — DisputePresentation (same route, distinct component)
21,Compliance submission,ALREADY_IMPLEMENTED_AT_BASELINE,"UX-03's /dev/ux-03/compliance already covers requirement list/detail/history; ComplianceSubmissionView type extension exists (lib/ux04/types.ts) but no UX-04-specific route/fixture was added this pass — see compliance-submission-workflow.md"
22,Operational media/evidence gallery,IMPLEMENTED,app/dev/ux-04/media — EvidenceGallery
23,SLA-risk examples,IMPLEMENTED,app/dev/ux-04/sla-risk — all 9 SLAState values
24,Operational exceptions,IMPLEMENTED,app/dev/ux-04/operational-exceptions — OperationalRiskBanner, explicitly not the blocked resolution engine
25,Staff operational home,IMPLEMENTED,app/dev/ux-04/staff-home — canonical staff role, permission-limited queue composition
26,Read-only operations,IMPLEMENTED,app/dev/ux-04/read-only — restriction-reason pattern demonstrated
27,Restricted-action states,IMPLEMENTED,"app/dev/ux-04/read-only (same route covers both 26 and 27 — one page demonstrating the pattern for a fully-restricted actor)"
