method,path,endpoint_name,module,capability,persona,current_dependency,runtime_status,primary_gap,risk_severity,disposition
POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,Brand catalog requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,Brand catalog requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,Tenant/staff self-profile,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,Tenant/staff self-profile,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/chat/threads,provider_create_thread,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/provider/chat/threads/{thread_id}/messages,provider_send_message,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/provider/chat/threads/{thread_id}/read,provider_mark_thread_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/provider/compliance/consents/{consent_type}/withdraw,withdraw_consent,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
POST,/v1/provider/compliance/customer-requests/{request_id}/tenant-response,customer_tenant_response,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
POST,/v1/provider/compliance/requests,create_my_request,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
