route,added_phase
/dev/ux-04,UX-04
/dev/ux-04/command-center,UX-04
/dev/ux-04/booking-list,UX-04
/dev/ux-04/booking-detail,UX-04A
/dev/ux-04/job-detail,UX-04
/dev/ux-04/field-ops-job-detail,UX-04B
/dev/ux-04/inspection,UX-04A
/dev/ux-04/status-transition,UX-04A
/dev/ux-04/assignment-workspace,UX-04
/dev/ux-04/parts-approval,UX-04(fixture corrected UX-04B)
/dev/ux-04/parts-list,UX-04B
/dev/ux-04/checklist-execution,UX-04A
/dev/ux-04/complaints,UX-04A
/dev/ux-04/media,UX-04A
/dev/ux-04/sla-risk,UX-04A
/dev/ux-04/operational-exceptions,UX-04A
/dev/ux-04/staff-home,UX-04A
/dev/ux-04/read-only,UX-04A
