route_key,method,path,endpoint,repository_module,router_file,service,model_resource,capability_family_action,permission,protection_status,principal_tenant_source,object_parent_tenant_source,primary_authorization_gap,secondary_gaps,slice_provenance
POST /v1/provider/brands/requests,POST,/v1/provider/brands/requests,create_brand_request,app.engines.admin_catalog.brand_provider_router,app/engines/admin_catalog/brand_provider_router.py,admin_catalog brand service,BrandRequest,catalog.brand.request_create,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only (require_technician),not independently audited this slice,missing access-scope-aware guard (readonly access_scope not rejected),none audited this slice beyond guard chain,2F-26 persona sweep
POST /v1/provider/brands/services/{service_id}/supported,POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,app/engines/admin_catalog/brand_provider_router.py,admin_catalog brand service,ServiceSupportedBrand,catalog.brand.support_set,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
PUT /v1/provider/business-profile,PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,app/engines/profile/router.py,profile service (_svc_technician),TenantBusinessProfile,profile.business.update,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
POST /v1/provider/business-profile/submit-review,POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,app/engines/profile/router.py,profile service (_svc_technician),TenantBusinessProfile,profile.business.submit_review,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
PUT /v1/staff/profile,PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,app/engines/profile/router.py,profile service (_svc_technician),StaffProfile,profile.staff.update,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
PUT /v1/me/profile,PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,app/engines/profile/router.py,profile service (_svc),UserProfile,profile.self.update,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none -- any authenticated role,tenant=actor.tenant_id per canonical evidence notes (self-service by design),no permission/role check at all (may be acceptable for self-service; not adjudicated this slice),not independently audited this slice,2F-26 persona sweep
PUT /v1/provider/marketing/assets/{asset_id}/provider-notes,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,app/engines/marketing_automation/provider_router.py,marketing_automation service,MarketingAsset,marketing.asset.notes_update,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,not independently audited this slice,no role or permission check at all,not independently audited this slice,2F-23 per-endpoint review
POST /v1/provider/marketing/campaigns/generate-launch,POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,app/engines/marketing_automation/provider_router.py,marketing_automation service,MarketingCampaign,marketing.campaign.generate,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,not independently audited this slice,no role or permission check at all,not independently audited this slice,2F-23 per-endpoint review
POST /v1/provider/marketing/campaigns/{campaign_id}/submit-review,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,app/engines/marketing_automation/provider_router.py,marketing_automation service,MarketingCampaign,marketing.campaign.submit_review,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,not independently audited this slice,no role or permission check at all,not independently audited this slice,2F-23 per-endpoint review
POST /v1/provider/reports/run,POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,app/engines/analytics/provider_router.py,analytics service,AnalyticsReportRun,analytics.report.run,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,none,not independently audited this slice,no role or permission check at all,not independently audited this slice,2F-23 per-endpoint review
