record_type,id_or_value,notes
customer_user_id,30572669-a024-4ca3-b01f-3ae0507a34ae,customer@serviceos.local (real seeded demo customer, role=customer)
tenant_owner_user_id,8a6160a9-9730-4881-8ca3-e7a8a9418354,provider@serviceos.local (role=tenant_owner)
technician_user_id,22d123b7-2962-4d7f-9678-24510683b1af,staff@serviceos.local (Demo Staff, role=technician)
tenant_id,5209ef33-a53e-4fc0-b3f6-006335b8d712,Demo AC Services -- shared by tenant_owner and technician accounts used
category_id,0888d283-9a52-4d7b-8612-9f47fa8357a1,Home Services
master_service_id (offering_id),a96e625a-60e1-46c0-bde4-ccbb88da50a2,ac_repair (AC Repair)
offering_type_id,c86dfcf3-53bd-4d83-bf0b-51257f382652,Split AC (service_types.name) -- required for match-and-price to resolve a ServicePricingRule
brand_id,64a3b25f-23aa-4639-8baf-f67def0f60db,LG
booking_draft_id,832d32dc-4cd3-4493-81f5-9af77907c68d,created via POST /v1/customer/home-services/booking-drafts
booking_id,9fb8900f-5a2b-4b1c-a27e-87224b37c030,confirmed ServiceBooking record
booking_number,BK-20260721-000008,customer-facing reference
service_job_id,4284c162-1f78-45aa-b6b3-df8acf14f076,ServiceJob created 1:1 from the booking
job_number,JOB-20260721-000008,shown to tenant/technician
confirmation_id,eea218d2-01ed-48e9-8ca1-23a605f15c5c,returned by /confirm
assignment_id,944edbf6-d82e-418a-b6e8-30631d96c83b,created by POST /v1/provider/service-jobs/{id}/assign
standard_price,775.00 INR,bargain_available:false -> standard-price fallback path (UX-06 backend fix, re-verified live this round)
final_job_status_this_round,accepted,transitioned via POST /v1/staff/service-jobs/{id}/accept (real transitions.ts value, NEXT_ACTION[assigned] = accept)
