method,path,endpoint,module,source_file,source_line,tags,deprecated,include_in_schema,dependencies,auth_dependencies,db_writes,external_effects,audit_effects,tenant_derivation
GET,/health,health_check,app.engines.health_router,app\engines\health_router.py,66,Health,False,True,health_check,NONE,,,,
GET,/v1/health,health_check_v1,app.engines.health_router,app\engines\health_router.py,77,Health,False,True,health_check_v1,NONE,,,,
GET,/v1/ready,readiness_check,app.engines.health_router,app\engines\health_router.py,88,Health|Health,False,True,readiness_check,NONE,,,,
GET,/engines,list_engines,app.engine_registry.router,app\engine_registry\router.py,18,Engine Registry,False,True,list_engines|get_tenant|get_db|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,get_current_user,,,,
GET,/engines/{engine_id},get_engine,app.engine_registry.router,app\engine_registry\router.py,65,Engine Registry,False,True,get_engine|get_tenant|get_db|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,get_current_user,,,,
GET,/v1/auth/meta,engine_meta,app.engines.auth.router,app\engines\auth\router.py,62,Auth & IAM|Engine Registry,False,True,engine_meta,NONE,,,,
POST,/v1/auth/register/customer,register_customer,app.engines.auth.router,app\engines\auth\router.py,79,Auth & IAM,False,True,register_customer|_svc|get_db,NONE,add|flush,,_audit|record_platform_audit,
POST,/v1/auth/login,login,app.engines.auth.router,app\engines\auth\router.py,111,Auth & IAM,False,True,login|_svc|get_db,NONE,add|flush,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/otp/send,send_otp,app.engines.auth.router,app\engines\auth\router.py,137,Auth & IAM,False,True,send_otp|_svc|get_db,NONE,add,,,
POST,/v1/auth/otp/verify,verify_otp,app.engines.auth.router,app\engines\auth\router.py,159,Auth & IAM,False,True,verify_otp|_svc|get_db,NONE,add|flush,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/mfa/verify,verify_mfa,app.engines.auth.router,app\engines\auth\router.py,183,Auth & IAM,False,True,verify_mfa|_svc|get_db,NONE,add|flush,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,app\engines\auth\router.py,209,Auth & IAM,False,True,setup_mfa|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|sqlalchemy.update(),,_audit|record_platform_audit,
POST,/v1/auth/mfa/confirm,confirm_mfa,app.engines.auth.router,app\engines\auth\router.py,228,Auth & IAM,False,True,confirm_mfa|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/mfa/disable,disable_mfa,app.engines.auth.router,app\engines\auth\router.py,244,Auth & IAM,False,True,disable_mfa|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router,app\engines\auth\router.py,266,Auth & IAM,False,True,regenerate_backup_codes|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|sqlalchemy.update(),,_audit|record_platform_audit,
POST,/v1/auth/token/refresh,refresh_token,app.engines.auth.router,app\engines\auth\router.py,282,Auth & IAM,False,True,refresh_token|_svc|get_db,NONE,add|sqlalchemy.update(),,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/token/introspect,introspect_token,app.engines.auth.router,app\engines\auth\router.py,302,Auth & IAM,False,True,introspect_token|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,,,,
POST,/v1/auth/logout,logout,app.engines.auth.router,app\engines\auth\router.py,318,Auth & IAM,False,True,logout|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router,app\engines\auth\router.py,333,Auth & IAM,False,True,logout_all|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
GET,/v1/auth/me,get_me,app.engines.auth.router,app\engines\auth\router.py,349,Auth & IAM,False,True,get_me|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,user.tenant_id
PUT,/v1/auth/me,update_profile,app.engines.auth.router,app\engines\auth\router.py,372,Auth & IAM,False,True,update_profile|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|raw_sql,,_audit|record_platform_audit,user.tenant_id
PUT,/v1/auth/password/change,change_password,app.engines.auth.router,app\engines\auth\router.py,390,Auth & IAM,False,True,change_password|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/password/reset/request,request_password_reset,app.engines.auth.router,app\engines\auth\router.py,409,Auth & IAM,False,True,request_password_reset|_svc|get_db,NONE,add,,_audit|record_platform_audit,user.tenant_id
