path,type,status
frontend/tenant-portal/lib/ux03/types.ts,source,complete
frontend/tenant-portal/lib/ux03/fixtures.ts,source,complete
frontend/tenant-portal/lib/ux03/nav-ia.ts,source,complete
frontend/tenant-portal/lib/ux03/__tests__/nav-ia.test.ts,test (not executed),complete
frontend/tenant-portal/lib/ux03/__tests__/permissions-and-pipelines.test.ts,test (not executed),complete
frontend/tenant-portal/components/ux03/patterns/TenantListPage.tsx,source,complete
frontend/tenant-portal/components/ux03/patterns/TenantDetailPage.tsx,source,complete
frontend/tenant-portal/components/ux03/patterns/SetupWizard.tsx,source,complete
frontend/tenant-portal/components/ux03/patterns/OperationalWorkspace.tsx,source,complete
frontend/tenant-portal/components/ux03/widgets/ReadinessTag.tsx,source,complete
frontend/tenant-portal/components/ux03/widgets/PipelineBadge.tsx,source,complete
frontend/tenant-portal/components/ux03/widgets/ReviewStateBanner.tsx,source,complete
frontend/tenant-portal/components/ux03/widgets/PermissionEditor.tsx,source,complete
frontend/tenant-portal/components/ux03/widgets/TeamMemberDetail.tsx,source,complete
frontend/tenant-portal/components/ux03/__tests__/SetupWizard.test.tsx,test (not executed),complete
frontend/tenant-portal/components/ux03/__tests__/PermissionEditor.test.tsx,test (not executed),complete
frontend/tenant-portal/app/dev/ux-03/*,dev showcase (25 routes incl. index),complete
frontend/packages/design-system/src/tokens/motion.ts,shared design-system change (additive),complete
docs/design/ux-03-tenant-portal/*,documentation,65 of 66 requested files present (this file is the 66th)
