rank,router_module,route_count,routes,severity,guard_status,primary_gap,identity_profile_risk,discovered_by,implementation_readiness
1,app.engines.auth.router,12,POST /v1/auth/mfa/confirm;POST /v1/auth/mfa/disable;PUT /v1/auth/me;PUT /v1/auth/password/change;POST /v1/auth/staff/invite;PUT /v1/auth/staff/{user_id}/permissions;POST /v1/auth/staff/{user_id}/deactivate;POST /v1/auth/impersonate;POST /v1/auth/api-keys;DELETE /v1/auth/api-keys/{key_id};PATCH /v1/auth/api-keys/{key_id};POST /v1/auth/change-password-required,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK|PERMISSION_ONLY_NOT_SCOPE_AWARE,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,YES -- credentials/permissions/sessions,2F-26 persona sweep,yes
2,app.engines.media.new_router,9,POST /v1/provider/profile/logo;DELETE /v1/provider/profile/logo;POST /v1/provider/profile/shop-photo;DELETE /v1/provider/profile/shop-photo;POST /v1/staff/profile/photo;DELETE /v1/staff/profile/photo;POST /v1/media/upload;POST /v1/media/{media_id}/replace;POST /v1/me/profile-photo,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK|ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,2F-26 persona sweep,yes
3,app.engines.enterprise_grid.router,6,POST /v1/enterprise/saved-views;PUT /v1/enterprise/saved-views/{view_id};DELETE /v1/enterprise/saved-views/{view_id};POST /v1/enterprise/saved-views/{view_id}/set-default;PUT /v1/enterprise/column-preferences;POST /v1/enterprise/exports,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,2F-26 persona sweep,yes
4,app.engines.profile.router,4,PUT /v1/provider/business-profile;POST /v1/provider/business-profile/submit-review;PUT /v1/staff/profile;PUT /v1/me/profile,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK|ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,2F-26 persona sweep,yes
5,app.engines.marketing_automation.provider_router,3,PUT /v1/provider/marketing/assets/{asset_id}/provider-notes;POST /v1/provider/marketing/campaigns/generate-launch;POST /v1/provider/marketing/campaigns/{campaign_id}/submit-review,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,pre-existing queue,yes
6,app.engines.platform_commerce.router,3,GET /v1/commerce/tenants/{tenant_id}/deposit;POST /v1/commerce/tenants/{tenant_id}/deposit/initiate;GET /v1/commerce/tenants/{tenant_id}/deposit/transactions,MEDIUM,PERMISSION_ONLY_NOT_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,no,2F-26 persona sweep,yes
7,app.engines.admin_catalog.brand_provider_router,2,POST /v1/provider/brands/requests;POST /v1/provider/brands/services/{service_id}/supported,MEDIUM,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,no,pre-existing queue,yes
8,app.engines.analytics.provider_router,1,POST /v1/provider/reports/run,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,pre-existing queue,yes
9,app.engines.admin_catalog.recommendation_router,1,POST /v1/provider/setup/recommendations,MEDIUM,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,no,pre-existing queue,yes
10,app.engines.admin_catalog.service_option_provider_router,1,POST /v1/provider/setup/services/{service_id}/supported-options,MEDIUM,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,no,pre-existing queue,yes
11,app.engines.rag.router,1,POST /v1/rag/query,HIGH,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,no,2F-26 persona sweep,yes
