method,path,endpoint,module,behaviour,persona,auth_dependencies,db_writes,external_effects
POST,/v1/auth/register/customer,register_customer,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|flush,
POST,/v1/auth/login,login,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|flush,
POST,/v1/auth/otp/send,send_otp,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add,
POST,/v1/auth/otp/verify,verify_otp,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|flush,
POST,/v1/auth/mfa/verify,verify_mfa,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|flush,
POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add|sqlalchemy.update(),
POST,/v1/auth/mfa/confirm,confirm_mfa,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
POST,/v1/auth/mfa/disable,disable_mfa,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add|sqlalchemy.update(),
POST,/v1/auth/token/refresh,refresh_token,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|sqlalchemy.update(),
POST,/v1/auth/logout,logout,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add,
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add,
PUT,/v1/auth/me,update_profile,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|raw_sql,
