method,path,endpoint,module
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,app.engines.tenant_engine.router
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,app.engines.tenant_engine.router
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,app.engines.tenant_engine.router
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,app.engines.tenant_engine.router
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,app.engines.tenant_engine.router
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router
POST,/v1/compliance/deletion-requests,request_deletion,app.engines.compliance.router
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router
POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,app.engines.security.router
POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,app.engines.security.router
POST,/v1/security/sessions,create_session,app.engines.security.router
POST,/v1/chat/conversations,create_conversation,app.engines.chat.router
POST,/v1/chat/conversations/{conversation_id}/messages,send_message,app.engines.chat.router
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,receive_stock,app.engines.inventory.router
POST,/v1/inventory/reservations,create_reservation,app.engines.inventory.router
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,update_plan,app.engines.subscription.router
POST,/v1/documents/{document_id}/send,send_for_signature,app.engines.document.router
POST,/v1/documents/{document_id}/void,void_document,app.engines.document.router
POST,/v1/appointments/{appointment_id}/confirm,confirm_hold,app.engines.appointment.router
POST,/v1/appointments/{appointment_id}/cancel,cancel_appointment,app.engines.appointment.router
POST,/v1/appointments/{appointment_id}/no-show,mark_no_show,app.engines.appointment.router
PUT,/v1/appointments/staff/{staff_id}/working-hours,set_working_hours,app.engines.appointment.router
POST,/v1/catalog,create_item,app.engines.service_catalog.router
PUT,/v1/catalog/{item_id},update_item,app.engines.service_catalog.router
POST,/v1/geo/tenants/{tenant_id}/zones,create_zone,app.engines.geo.router
POST,/v1/dispatch/jobs/{job_id}/accept,accept_job,app.engines.dispatch.router
POST,/v1/dispatch/jobs/{job_id}/reject,reject_job,app.engines.dispatch.router
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,recompute_ltv,app.engines.data_science.router
POST,/v1/rag/knowledge-bases,create_kb,app.engines.rag.router
PUT,/v1/rag/knowledge-bases/{kb_id},update_kb,app.engines.rag.router
DELETE,/v1/rag/knowledge-bases/{kb_id},delete_kb,app.engines.rag.router
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,app.engines.rag.router
DELETE,/v1/rag/documents/{doc_id},delete_document,app.engines.rag.router
POST,/v1/rag/documents/{doc_id}/reindex,reindex_document,app.engines.rag.router
PUT,/v1/settings/tenants/{tenant_id}/{key},set_tenant,app.engines.settings_engine.router
DELETE,/v1/settings/tenants/{tenant_id}/{key},delete_tenant,app.engines.settings_engine.router
POST,/v1/notifications/send,send_notification,app.engines.notification.router
POST,/v1/media/upload/initiate,initiate_upload,app.engines.media.router
POST,/v1/media/upload/{session_id}/confirm,confirm_upload,app.engines.media.router
DELETE,/v1/media/{media_id},delete_media,app.engines.media.new_router
GET,/v1/media/signed/{token},resolve_signed_media,app.engines.media.admin_router
POST,/v1/pricing/tenants/{tenant_id}/prices/set,set_tenant_price,app.engines.pricing.router
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,set_brand_adj,app.engines.pricing.router
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},update_zone,app.engines.pricing.router
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},update_rule,app.engines.pricing.router
POST,/v1/enterprise/exports/{export_id}/retry,retry_export,app.engines.enterprise_grid.router
