method,path,guard_status,access_scope_enforced,role_enforced,tenant_scoping,assignment_ownership,tested
POST,/v1/admin/service-jobs/{job_id}/force-close,PERMISSION_ONLY_NOT_SCOPE_AWARE (exempted -- platform-admin permission gate),n/a (platform role),YES (require_permission(P.ADMIN_JOBS_FORCE_CLOSE)),not applicable,not applicable,YES (admin_operations retains access, tenant_owner denied)
POST,/v1/admin/service-jobs/{job_id}/status-override,PERMISSION_ONLY_NOT_SCOPE_AWARE (exempted),n/a,YES,not applicable,not applicable,YES
POST,/v1/admin/service-jobs/{job_id}/void,PERMISSION_ONLY_NOT_SCOPE_AWARE (exempted),n/a,YES,not applicable,not applicable,YES
POST,/v1/staff/service-jobs/{job_id}/accept (execution copy),n/a -- decorator removed,n/a,n/a,n/a,n/a,YES (confirmed unreachable, function preserved)
POST,/v1/staff/service-jobs/{job_id}/reject (execution copy),n/a -- decorator removed,n/a,n/a,n/a,n/a,YES (confirmed unreachable, function preserved)
POST,/v1/staff/service-jobs/{job_id}/on-the-way,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES (staff_or_above),YES (_get_job tenant filter, pre-existing),YES (_assert_staff_owns_job, pre-existing),YES
POST,/v1/staff/service-jobs/{job_id}/reached-site,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/start-inspection,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/complete-inspection,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/start-service,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/work-done,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/complete,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/customer-not-available,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/quote-required,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/parts-required,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/notes,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/diagnosis-notes,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/media,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/staff/service-jobs/{job_id}/parts-requests,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,YES,YES
POST,/v1/provider/service-jobs/{job_id}/cancel,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,n/a (whole-job, not assignment-scoped),YES
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/approve,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,not independently re-verified,YES (guard only)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/reject,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,not independently re-verified,YES (guard only)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{id}/install,STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES,not independently re-verified,YES (guard only; provider-only downstream restriction preserved, unchanged)
POST,/v1/staff/service-jobs/{job_id}/accept (canonical),STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES (NEW explicit tenant defense-in-depth added this slice),YES (ServiceJobAssignment match, pre-existing),YES
POST,/v1/staff/service-jobs/{job_id}/reject (canonical),STAFF_EXECUTION_ROLE_SCOPE_AWARE,YES (new),YES,YES (NEW explicit tenant defense-in-depth added this slice),YES,YES
POST,/v1/provider/service-jobs/{job_id}/assign,TENANT_MUTATION_ROLE_SCOPE_AWARE,YES (new),YES (tenant_owner),YES (pre-existing, user.tenant_id),n/a,YES
POST,/v1/provider/service-jobs/{job_id}/reassign,TENANT_MUTATION_ROLE_SCOPE_AWARE,YES (new),YES,YES (pre-existing),n/a,YES
POST,/v1/provider/service-jobs/{job_id}/cancel-assignment,TENANT_MUTATION_ROLE_SCOPE_AWARE,YES (new),YES,YES (pre-existing),n/a,YES
POST,/v1/provider/service-jobs/{job_id}/schedule,TENANT_MUTATION_ROLE_SCOPE_AWARE,YES (new),YES,YES (pre-existing),n/a,YES
