item,name,disposition,evidence
1,Operations Command Center,IMPLEMENTED,app/dev/ux-04/command-center — OperationalActionQueue with role-sensitive availability
2,Booking list,IMPLEMENTED,app/dev/ux-04/booking-list — combined pipeline-aware table
3,Booking detail - Booking pipeline,IMPLEMENTED,app/dev/ux-04/booking-detail (left panel) — PipelineAwareBookingDetail with BookingFixture
4,Booking detail - ServiceBooking pipeline,IMPLEMENTED_WITH_CAVEAT,"app/dev/ux-04/booking-detail (right panel) — UX-03 never modeled a separate ServiceBooking fixture type; this renders ServiceJobFixture's pre-job-workspace fields only (job-specific sections withheld). See booking-detail-pipeline-evidence.md"
5,Job list,IMPLEMENTED,app/dev/ux-04/booking-list — job rows in the same combined table
6,field_ops.Job detail,IMPLEMENTED,"CORRECTED in UX-04B (was wrongly NOT_APPLICABLE at UX-04A). app/dev/ux-04/field-ops-job-detail — FieldOpsJobDetail component + FieldOpsJobDetailView type, showing model-specific status/SLA/timeline/notes/activity/audit, structurally excluding quote/checklist/parts/invoice/credit (no such fields exist on the type). See field-ops-job-detail-implementation.md"
7,ServiceJob detail,IMPLEMENTED,app/dev/ux-04/job-detail — full Job Detail Workspace with all ServiceJob-specific sections
8,Assignment workspace,IMPLEMENTED,app/dev/ux-04/assignment-workspace
9,Status-transition workspace,IMPLEMENTED,"app/dev/ux-04/status-transition — standalone StatusTransitionPanel, invalid/out-of-sequence transitions flagged, terminal state handled"
10,Inspection workspace,IMPLEMENTED,"app/dev/ux-04/inspection — InspectionSummary component + inspectionFixture; no real backend inspection data source confirmed (design-fixture only), see inspection-workflow.md"
11,Quote workspace,IMPLEMENTED,"app/dev/ux-04/job-detail renders QuoteSummary inline; no separate standalone route — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace, see quote-workflow.md"
12,Checklist execution,IMPLEMENTED,"app/dev/ux-04/checklist-execution — ChecklistProgress mode='technician_execution', distinct from provider_review shown in job-detail"
13,Checklist review,IMPLEMENTED,"app/dev/ux-04/job-detail renders ChecklistProgress mode='provider_review' — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
14,Parts-request list,IMPLEMENTED,"CORRECTED in UX-04B (was wrongly NOT_APPLICABLE at UX-04A — a single-row fixture set is not valid exclusion evidence). app/dev/ux-04/parts-list — PartsRequestList component, 3-row fixture across 3 statuses + empty fixture, search/status filters, loading/empty/error states. See parts-request-list-implementation.md"
15,Parts-request approval,IMPLEMENTED,app/dev/ux-04/parts-approval
16,Invoice/on-site payment record,IMPLEMENTED,"InvoicePaymentSummary component wired into app/dev/ux-04/job-detail; accurate language ('payment recorded', 'commission deducted from tenant credit') — no capture/refund/payout action, see invoice-payment-record.md"
17,Credit/commission summary,IMPLEMENTED,"app/dev/ux-04/job-detail renders CreditCommissionSummary — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
18,Customer communication timeline,IMPLEMENTED,"app/dev/ux-04/job-detail renders CustomerCommunicationTimeline — MERGED_WITH_NAMED_WORKFLOW into Job Detail Workspace"
19,Complaint list/detail,IMPLEMENTED,app/dev/ux-04/complaints — ComplaintWorkspace
20,Dispute presentation,IMPLEMENTED,app/dev/ux-04/complaints — DisputePresentation (same route, distinct component)
21,Compliance submission,ALREADY_IMPLEMENTED_AT_BASELINE,"UX-03's /dev/ux-03/compliance already covers requirement list/detail/history; ComplianceSubmissionView type extension exists (lib/ux04/types.ts) but no UX-04-specific route/fixture was added this pass — see compliance-submission-workflow.md"
22,Operational media/evidence gallery,IMPLEMENTED,app/dev/ux-04/media — EvidenceGallery
23,SLA-risk examples,IMPLEMENTED,app/dev/ux-04/sla-risk — all 9 SLAState values
24,Operational exceptions,IMPLEMENTED,app/dev/ux-04/operational-exceptions — OperationalRiskBanner, explicitly not the blocked resolution engine
25,Staff operational home,IMPLEMENTED,app/dev/ux-04/staff-home — canonical staff role, permission-limited queue composition
26,Read-only operations,IMPLEMENTED,app/dev/ux-04/read-only — restriction-reason pattern demonstrated
27,Restricted-action states,IMPLEMENTED,"app/dev/ux-04/read-only (same route covers both 26 and 27 — one page demonstrating the pattern for a fully-restricted actor)"
