path,kind
frontend/tenant-portal/lib/ux04/types.ts,source
frontend/tenant-portal/lib/ux04/fixtures.ts,source
frontend/tenant-portal/components/ux04/SLAIndicator.tsx,source
frontend/tenant-portal/components/ux04/JobStatusTimeline.tsx,source
frontend/tenant-portal/components/ux04/OperationalActionQueue.tsx,source
frontend/tenant-portal/components/ux04/AssignmentCandidateCard.tsx,source
frontend/tenant-portal/components/ux04/QuoteSummary.tsx,source
frontend/tenant-portal/components/ux04/ChecklistProgress.tsx,source
frontend/tenant-portal/components/ux04/PartsRequestSummary.tsx,source
frontend/tenant-portal/components/ux04/CreditCommissionSummary.tsx,source
frontend/tenant-portal/components/ux04/CustomerCommunicationTimeline.tsx,source
frontend/tenant-portal/components/ux04/OperationalRiskBanner.tsx,source
frontend/tenant-portal/app/dev/ux-04/page.tsx,dev-showcase
frontend/tenant-portal/app/dev/ux-04/command-center/page.tsx,dev-showcase
frontend/tenant-portal/app/dev/ux-04/booking-list/page.tsx,dev-showcase
frontend/tenant-portal/app/dev/ux-04/job-detail/page.tsx,dev-showcase
frontend/tenant-portal/app/dev/ux-04/assignment-workspace/page.tsx,dev-showcase
frontend/tenant-portal/app/dev/ux-04/parts-approval/page.tsx,dev-showcase
frontend/packages/design-system/src/components/Tooltip.tsx,evidence-based-fix
frontend/tenant-portal/app/dev/ux-03/permission-editor/page.tsx,evidence-based-fix
docs/design/ux-04-tenant-operations/*.md,documentation
docs/design/ux-04-tenant-operations/*.csv,documentation
