method,path,endpoint,module,behavior,persona,admitted_roles,tenant_authority,tool_persona,evidence,in_canonical
POST,/v1/public/register/verify,verify_otp,app.engines.public_registration.router,PURE_READ_FALSE_POSITIVE,PUBLIC_OR_UNAUTHENTICATED_MUTATION,ALL_AUTHENTICATED,UNKNOWN_TENANT_ROLE,REQUIRES_MANUAL_ADJUDICATION,handler-level only,no
DELETE,/v1/chat/messages/{message_id},delete_message,app.engines.chat.router,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,CLIENT_ASSERTED_TENANT,REQUIRES_MANUAL_ADJUDICATION,ChatService.delete_message:write,no
DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,super_admin|tenant_owner,CLIENT_ASSERTED_TENANT,TENANT_PROVIDER_MUTATION,WebhookService.delete_endpoint:write,no
DELETE,/v1/geo/zones/{zone_id},delete_zone,app.engines.geo.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,super_admin|tenant_owner,UNKNOWN_TENANT_ROLE,TENANT_PROVIDER_MUTATION,GeoService.delete_zone:write,no
DELETE,/v1/tenant/checklist-templates/{template_id},delete_template,app.engines.field_ops.checklist_router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,super_admin|tenant_owner,UNKNOWN_TENANT_ROLE,TENANT_PROVIDER_MUTATION,ChecklistTemplateService.delete_template:write,yes
DELETE,/v1/tenant/checklist-templates/{template_id}/items/{item_id},delete_item,app.engines.field_ops.checklist_router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,super_admin|tenant_owner,UNKNOWN_TENANT_ROLE,TENANT_PROVIDER_MUTATION,ChecklistTemplateService.delete_item:write,yes
DELETE,/v1/admin/packages/{package_id}/features/{feature_id},delete_package_feature,app.engines.package_commerce.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,super_admin,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_MUTATION,PackageCommerceService.delete_package_feature:write,no
DELETE,/v1/admin/packages/{package_id}/limits/{limit_id},delete_package_limit,app.engines.package_commerce.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,super_admin,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_MUTATION,PackageCommerceService.delete_package_limit:write,no
DELETE,/v1/notifications/templates/{template_id},delete_template,app.engines.notification.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,super_admin,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_MUTATION,NotificationService.delete_template:write,no
DELETE,/v1/pricing/city-tiers/{config_id},delete_city_tier,app.engines.pricing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,super_admin,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_MUTATION,PricingService.delete_city_tier_config:write,no
DELETE,/v1/commerce/packages/{package_id},archive_package,app.engines.platform_commerce.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,super_admin,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_MUTATION,CommerceService.archive_package:write,no
