method,path,endpoint,module,final_classification,evidence
POST,/v1/jobs,create_job,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE)"
POST,/v1/jobs/{job_id}/assign,assign_job,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_ASSIGN)"
POST,/v1/jobs/{job_id}/accept,accept_job,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only -- staff/technician acting for their tenant"
POST,/v1/jobs/{job_id}/reject-assignment,reject_assignment,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/status,update_status,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_UPDATE)"
POST,/v1/jobs/{job_id}/assessment/start,start_assessment,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/assessment/complete,complete_assessment,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/quotes,create_job_quote,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_above_mutation"
POST,/v1/jobs/{job_id}/quotes/{quote_id}/send,send_job_quote,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_above_mutation"
POST,/v1/jobs/{job_id}/quotes/{quote_id}/approve,approve_job_quote,field_ops.router,CUSTOMER_SELF_SERVICE_MUTATION,"require_customer -- not independently ownership-tested this slice"
POST,/v1/jobs/{job_id}/quotes/{quote_id}/reject,reject_job_quote,field_ops.router,CUSTOMER_SELF_SERVICE_MUTATION,"require_customer -- not independently ownership-tested this slice"
POST,/v1/jobs/quotes/{quote_id}/respond,respond_to_quote,field_ops.router,CUSTOMER_SELF_SERVICE_MUTATION,"require_customer -- not independently ownership-tested this slice"
POST,/v1/jobs/{job_id}/checklist,update_checklist,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/checklist/start,start_checklist,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
PATCH,/v1/jobs/{job_id}/checklist/items/{item_id},update_checklist_item,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/checklist/complete,complete_checklist,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/findings,submit_findings,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_technician_only"
POST,/v1/jobs/{job_id}/quote,create_quote,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_above_mutation"
POST,/v1/jobs/{job_id}/convert-to-repair,convert_to_repair,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_ASSIGN)"
POST,/v1/jobs/{job_id}/spawn-repair,spawn_repair,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE)"
POST,/v1/jobs/{job_id}/close,close_job,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_CLOSE)"
POST,/v1/jobs/{job_id}/generate-invoice,generate_invoice,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_CLOSE)"
POST,/v1/jobs/{job_id}/record-payment,record_payment,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_CLOSE)"
POST,/v1/jobs/{job_id}/deduct-commission,deduct_commission,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_CLOSE)"
POST,/v1/jobs/{job_id}/financial-close,financial_close,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.FIELD_OPS_JOBS_CLOSE)"
POST,/v1/jobs/{job_id}/void,void_job,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE)"
POST,/v1/jobs/{job_id}/notes,add_note,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_above_mutation"
POST,/v1/jobs/{job_id}/media,add_media,field_ops.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_staff_or_above_mutation"
POST,/v1/commerce/bookings/preflight,run_preflight,platform_commerce.router,AUTHENTICATED_READ_ONLY,"Depends(get_current_user) only; traced CommerceService.run_preflight -> run_booking_preflight -- pure select() checks, zero db.add/INSERT/UPDATE. Read-path caveat: no tenant ownership check on the client-supplied tenant_id, so any authenticated user can query another tenant's preflight/commission-rate/health-band data -- a read-path privacy gap consistent with this program's already-documented, out-of-mutation-scope pricing/read-path limitation, not fixed this slice."
POST,/v1/commerce/bookings/{booking_id}/reservation/create,create_reservation,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/bookings/{booking_id}/reservation/confirm,confirm_reservation,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/bookings/{booking_id}/reservation/release,release_reservation,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/bookings/{booking_id}/reservation/forfeit,forfeit_reservation,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,platform_commerce.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_BILLING_MANAGE)"
POST,/v1/commerce/tenants/{tenant_id}/deposit/confirm,confirm_deposit,platform_commerce.router,PUBLIC_OR_CALLBACK_MUTATION,"Depends(_svc_open) -- no user auth at all, by design (Razorpay payment-gateway webhook); service verifies razorpay_signature before trusting any input"
