method,path,endpoint,module,mounted,source_file,source_line,cls_side_effect,cls_family,cls_action,cls_persona,cls_direction
POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,YES,app\engines\auth\router.py,209,DATABASE_MUTATION,identity_access,REQUIRES_MANUAL_ACTION_ADJUDICATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router,YES,app\engines\auth\router.py,266,DATABASE_MUTATION,identity_access,rotate,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/auth/logout,logout,app.engines.auth.router,YES,app\engines\auth\router.py,318,DATABASE_MUTATION,identity_access,revoke,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router,YES,app\engines\auth\router.py,333,DATABASE_MUTATION,identity_access,revoke,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
DELETE,/v1/auth/sessions/{session_id},revoke_session,app.engines.auth.router,YES,app\engines\auth\router.py,463,DATABASE_MUTATION,identity_access,revoke,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,app.engines.auth.router,YES,app\engines\auth\router.py,537,DATABASE_MUTATION,staff_management,resend,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router,YES,app\engines\auth\router.py,629,DATABASE_MUTATION,staff_management,update,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,YES,app\engines\auth\router.py,1164,PURE_READ,identity_access,other,SELF_SERVICE_READ,NO_TENANT_AUTHORITY_REQUIRED
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router,YES,app\engines\auth\router.py,1184,DATABASE_MUTATION,identity_access,revoke,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED
PUT,/v1/tenants/{tenant_id},update_tenant,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,267,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
