route_function,attachment_input,first_use_authority,claim_atomicity_relevance,claim_tampering_relevance,unclaimed_retrieval_relevance,claimed_retrieval_relevance,url_exposure_relevance,final_status,fully_protected
provider_mark_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
provider_mark_all_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
provider_update_pref,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
provider_create_thread,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
provider_send_message,YES,VERIFIED (office persona already sufficiently evidenced -- unaffected by this slice's technician restriction),VERIFIED (SELECT...FOR UPDATE applies to every media_id this route processes),VERIFIED (claim cannot be tampered via any writer this route reaches),relevant -- provider_send_message can be the FIRST use of an asset,VERIFIED (unchanged from 2F-18C),VERIFIED (no unrestricted URL exposed),VERIFIED,YES
provider_mark_thread_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
staff_mark_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
staff_mark_all_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES
staff_send_message,YES,VERIFIED -- THIS SLICE closes the specific gap this route could reach (technician sender now requires uploader match for unclaimed assets),VERIFIED (same lock mechanism),VERIFIED,directly relevant -- staff_send_message is the technician-reachable attachment route this slice's first-use fix specifically protects,VERIFIED (unchanged from 2F-18C),VERIFIED,VERIFIED,YES
staff_mark_thread_read,no,n/a,n/a,n/a,n/a,n/a,n/a,VERIFIED,YES

Fully protected: 10 of 10 selected routes.
Blocked selected routes: 0.
Final X/Y: 190 (baseline) + 10 (this module) = 200/226.
Remaining unprotected routes: 26.
Remaining module count: unchanged from 2F-18/2F-18A/2F-18B/2F-18C -- 10 non-selected modules, see remaining-module-queue-update.csv.
