method,path,route,persona,dependency,tenant_mutation_scope_required,customer_ownership_required,platform_only_required,genuine_mutation,included_in_tenant_denominator,protected,runtime_verified
POST,/v1/bookings/preflight,booking_preflight,FALSE_POSITIVE_NON_MUTATION,require_permission(BOOKING_CREATE),no,no,no,no,no,n/a,exempted
POST,/v1/bookings,create_booking,CUSTOMER_SELF_SERVICE_MUTATION,require_tenant_mutation_permission(BOOKING_CREATE),no,yes (own booking / server-derived customer_id),no,yes,no,yes,yes
POST,/v1/bookings/{id}/cancel,cancel_booking,CUSTOMER_SELF_SERVICE_MUTATION,require_tenant_mutation_permission(BOOKING_CANCEL),no,yes,no,yes,no,yes,yes
POST,/v1/bookings/{id}/confirm,confirm_booking,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(BOOKING_MANAGE),yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/{id}/reject,reject_booking,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(BOOKING_MANAGE),yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/{id}/convert-to-job,convert_to_job,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(BOOKING_MANAGE),yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/{id}/reschedule/request,request_reschedule,CUSTOMER_SELF_SERVICE_MUTATION,require_tenant_mutation_permission(BOOKING_RESCHEDULE),no,yes,no,yes,no,yes,yes
POST,/v1/bookings/reschedule/{id}/accept,accept_reschedule,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(TENANT_UPDATE),yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/reschedule/{id}/reject,reject_reschedule,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(TENANT_UPDATE),yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/{id}/notes,add_note,TENANT_PROVIDER_MUTATION,require_staff_or_above_mutation,yes,no,no,yes,yes,yes,yes
POST,/v1/bookings/{id}/void,void_booking,PLATFORM_INTERNAL_MUTATION,require_super_admin,no,no,yes,yes,no,yes,yes
