artifact,state,notes
final-route-classification.csv,PRESENT,"149/149 routes classified this tranche, fully qualified"
authorization-remediation-report.md,PRESENT,"2 confirmed defects fixed + 21 flagged rationale"
known-limitations.md,PRESENT,"21 PRODUCT_DECISION_REQUIRED routes enumerated by name"
final-status-rationale.md,PRESENT,"AUTHORIZATION_REMEDIATION_BLOCKED rationale"
route-denominator-reconciliation.md,PRESENT,"denominator terms kept distinct, not collapsed"
route-enumeration-method.md,PRESENT,"live app.main:app introspection method documented"
unresolved-route-reproduction.md,PRESENT,"steps to reproduce the 149-route starting set"
read-path-privacy-ledger.md,PRESENT,"4 READ_PATH_CROSS_TENANT_PRIVACY_GAP entries, separate from mutation arithmetic"
branch-worktree-baseline.md,PRESENT,"293d7f5 baseline, dedicated branch/worktree confirmed"
worktree-interference-guard.md,PRESENT,"cert_guard_2f39a3.py run log, no CONCURRENT_WORKTREE_INTERFERENCE fired"
baseline-freeze.md,PRESENT,"expected_head state frozen/updated per commit"
targeted-test-report.md,PRESENT,"6 new tests for the 2 fixed defects"
phase2f-regression-report.md,PRESENT,"2500/2500 passed, twice, identical"
full-backend-regression-diff.md,PRESENT,"12,103/12,151 passed, 27 failed (26 known + 1 investigated non-regression)"
backend-file-change-report.md,PRESENT,"chat/service.py + compliance/router.py + 1 new test file"
frontend-non-change-report.md,PRESENT,"zero frontend/mobile/UX writes confirmed"
deferred-items.md,PRESENT,"21 flagged routes + prior-slice deferrals carried forward"
implementation-summary.md,PRESENT,"this slice's summary"
approval-gate.md,PRESENT,"20-point gate, all PASS"
six-defect-remediation-report.md,NOT_APPLICABLE_FOR_THIS_SLICE,"belongs to Slice 2F-39A2R, not reproduced here"
api-key-sibling-revalidation.md,NOT_APPLICABLE_FOR_THIS_SLICE,"belongs to Slice 2F-39A2R, not reproduced here"
migration-144-execution-record.md,NOT_APPLICABLE_FOR_THIS_SLICE,"explicitly out of scope this slice"
demo-role-decision-record.md,NOT_APPLICABLE_FOR_THIS_SLICE,"explicitly out of scope this slice"
verify_2f39a3.py,MISSING_REQUIRED,"dedicated verification script not written this slice; listed as a deferred item"
systematic-read-path-scan.md,MISSING_REQUIRED,"full ~1,134-route read-path privacy scan not performed this slice; only the 4 mutation-adjacent findings were tracked"
