endpoint_name,role_dependency,customer_ownership,complaint_ownership,linked_ownership,state_validation,verification_level
check_eligible,require_customer,_customer_owns_record,n/a,n/a,record status/window/duplicate,SLICE_2F10_VERIFIED
create_complaint,require_customer,record ownership (fixed),n/a,record ownership (fixed),n/a,SLICE_2F10_VERIFIED
list_complaints,require_customer,query filter,n/a,n/a,n/a,SLICE_2F10_VERIFIED
get_complaint,require_customer,n/a,get_customer_complaint,n/a,n/a,SLICE_2F10_VERIFIED
add_message,require_customer,n/a,get_customer_complaint,n/a,FINAL_STATUSES,SLICE_2F10_VERIFIED
list_messages,require_customer,n/a,get_customer_complaint,n/a,is_visible_to filter,SLICE_2F10_VERIFIED
list_resolutions,require_customer,n/a,get_customer_complaint,n/a,n/a,SLICE_2F10_VERIFIED
get_ai_session,require_customer,n/a,get_customer_complaint,n/a,n/a,SLICE_2F10_VERIFIED
submit_ai_answers,require_customer,n/a,get_customer_complaint,n/a,AI session status,SLICE_2F10_VERIFIED
cancel_complaint,require_customer,n/a,get_customer_complaint,n/a,ALLOWED_TRANSITIONS_EXT,SLICE_2F10_VERIFIED
accept_resolution,require_customer,n/a,get_customer_complaint,resolution.complaint_id (fixed),ALLOWED_TRANSITIONS_EXT pre-validated (fixed),SLICE_2F10_VERIFIED
reject_resolution,require_customer,n/a,get_customer_complaint,resolution.complaint_id (fixed),ALLOWED_TRANSITIONS_EXT pre-validated (fixed),SLICE_2F10_VERIFIED
request_refund,require_customer,n/a,get_customer_complaint (fixed),n/a,ALLOWED_TRANSITIONS soft-check,SLICE_2F10_VERIFIED
list_settlement_proposals,require_customer,n/a,get_customer_complaint,n/a,n/a,SLICE_2F10_VERIFIED
respond_to_settlement,require_customer,n/a,get_customer_complaint,proposal.complaint_id (already fixed 2F-9),_check_dual_acceptance,SLICE_2F10_VERIFIED
