view_model_or_route,readiness_state
lib/ux04/types.ts (all view models),MOCK_DESIGN_ONLY
lib/ux04/fixtures.ts,MOCK_DESIGN_ONLY
app/dev/ux-04/command-center,MOCK_DESIGN_ONLY
app/dev/ux-04/booking-list,MOCK_DESIGN_ONLY
app/dev/ux-04/job-detail,MOCK_DESIGN_ONLY
app/dev/ux-04/assignment-workspace,MOCK_DESIGN_ONLY
app/dev/ux-04/parts-approval,MOCK_DESIGN_ONLY
SLAStateView / SLA system generally,PRODUCT_DECISION_REQUIRED
Booking Exception Resolution (active engine),PRODUCT_DECISION_REQUIRED
Customer cancel/reschedule,PRODUCT_DECISION_REQUIRED
Operational search,API_CONTRACT_REQUIRED
Dispute adjudication authority,SECURITY_CONTRACT_PENDING
