method,path,capability,side_effect,persona,tenant_direction,in_denominator,protection,canonical_expectation
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/tenants/{tenant_id}/plan/upgrade,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/tenants/{tenant_id}/terminate/confirm,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
DELETE,/v1/tenant/service-areas/{area_id},MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/tenant/service-areas/{area_id}/services,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/provider/notifications/mark-all-read,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
POST,/v1/provider/notifications/{notification_id}/read,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
GET,/v1/ds/tenants/{tenant_id}/churn/score,READ,PURE_READ,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TENANT,no,UNPROTECTED_READ_PRIVACY,no_row_read_only
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,MUTATION,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,PLATFORM_ADMIN_TARGET_TENANT,no,PROTECTED,no_row_platform_admin
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,PARTIAL_STAFF_SELF_ONLY,row_expected
POST,/v1/pricing/tenants/{tenant_id}/rules,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
DELETE,/v1/appointments/calendar/blocks/{block_id},MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,NO_TENANT_SCOPE,yes,UNPROTECTED_NO_TENANT_SCOPE,row_expected
POST,/v1/appointments/staff/{staff_id}/calendar/block,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
POST,/v1/auth/mfa/setup,MUTATION,TOKEN_OR_SESSION_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_SCOPE,no,PROTECTED,no_row_self_scoped
POST,/v1/compliance/consent,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
POST,/v1/documents,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
POST,/v1/inventory/reservations/confirm,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
POST,/v1/pricing/compute,MUTATION,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected
POST,/v1/security/audit-log,MUTATION,AUDIT_ONLY_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TENANT,no,UNPROTECTED_AUDIT_FORGERY,no_row_audit_only
GET,/v1/auth/login-history,READ,PURE_READ,SELF_SERVICE_READ,NO_TENANT_SCOPE,no,PROTECTED,no_row_read_only
GET,/v1/enterprise/exports/{export_id}/download,READ,PURE_READ,SELF_SERVICE_READ,NO_TENANT_SCOPE,no,PROTECTED,no_row_read_only
