method,path,behavior,persona,tenant_direction,capability_family,side_effect,evidence
POST,/v1/auth/mfa/setup,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,AuthService.setup_mfa:.add()|AuthService.setup_mfa:SQLAlchemy update().values()|AuthService.setup_mfa:attribute assignment
POST,/v1/auth/mfa/backup-codes/regenerate,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,AuthService.regenerate_backup_codes:.add()|AuthService.regenerate_backup_codes:SQLAlchemy update().values()
POST,/v1/auth/logout,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,AuthService.logout:attribute assignment
POST,/v1/auth/logout-all,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,AuthService.logout_all:attribute assignment
DELETE,/v1/auth/sessions/{session_id},DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,revoke_session:.delete()
POST,/v1/auth/staff/{user_id}/invite/resend,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,staff_management,DATABASE_MUTATION,AuthService.resend_invite:attribute assignment
PUT,/v1/auth/staff/{user_id}/schedule,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,staff_management,DATABASE_MUTATION,AuthService.update_staff_schedule:attribute assignment
GET,/v1/auth/login-history,READ_ONLY,READ_ONLY_NOT_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,PURE_READ,no AST write in handler or resolved callees
POST,/v1/auth/sessions/revoke-all-other,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,identity_access,DATABASE_MUTATION,AuthService.logout_all:attribute assignment
PUT,/v1/tenants/{tenant_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/suspend,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/reinstate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/terminate/begin,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/terminate/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,TenantService.confirm_termination:attribute assignment
POST,/v1/tenants/{tenant_id}/plan/upgrade,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/plan/downgrade,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/trial/convert,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,TenantService.convert_trial:attribute assignment
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,TenantService.enable_engine:.add()|TenantService.enable_engine:attribute assignment
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,TenantService.disable_engine:attribute assignment
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,delete_feature_flag:.delete()
PUT,/v1/tenants/{tenant_id}/billing/payment-method,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/tenants/{tenant_id}/data/export,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,non-GET with no detected write (conservative)
POST,/v1/tenants/{tenant_id}/data/delete-request,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,tenant_governance,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/tenant/service-areas/{area_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,ServiceabilityService.update_service_area:.commit()|ServiceabilityService.update_service_area:.flush()|ServiceabilityService.update_service_area:attribute assignment|ServiceabilityService.update_service_area:setattr
DELETE,/v1/tenant/service-areas/{area_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,delete_tenant_service_area:.delete()
POST,/v1/tenant/service-areas/{area_id}/set-primary,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,ServiceabilityService.set_primary_service_area:.commit()|ServiceabilityService.set_primary_service_area:attribute assignment
POST,/v1/tenant/service-areas/{area_id}/services,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,ServiceabilityService.add_service_mapping:.add()|ServiceabilityService.add_service_mapping:.commit()
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,ServiceabilityService.update_service_mapping:.commit()|ServiceabilityService.update_service_mapping:setattr
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,delete_service_mapping:.delete()
POST,/v1/serviceability/check,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,geography_serviceability,DATABASE_MUTATION,ServiceabilityService.check_serviceability:.add()|ServiceabilityService.check_serviceability:.commit()
POST,/v1/compliance/consent,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,Request.json:attribute assignment
GET,/v1/compliance/consent/users/{user_id},READ_ONLY,READ_ONLY_NOT_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,PURE_READ,no AST write in handler or resolved callees
POST,/v1/compliance/consent/withdraw,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/compliance/deletion-requests,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/compliance/portability-requests,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/api-keys,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/api-keys/{key_id}/rotate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,security_audit,DATABASE_MUTATION,SecurityService.rotate_api_key:.delete()|SecurityService.rotate_api_key:attribute assignment
