route_name,mounted,mutates_job,mutates_child_record,same_lifecycle_as_staff_router,changes_checklist_readiness,changes_completion_state,notes_media_effect,financial_mutation,persona_guard,access_scope_guard,tenant_ownership,assignment_ownership,customer_ownership,state_validation,frontend_callers,final_classification
create_job,yes,yes (creates),no,no (creation not transition),no,no,no,no,require_permission(TENANT_UPDATE),no,no (creation),n/a,n/a,job_type validated,none found,SAME_JOB_DISTINCT_CAPABILITY
respond_to_quote,yes,no (mutates JobQuote),yes (JobQuote),no,no,triggers QUOTE_APPROVED/spawns repair,no,no,get_current_user,no,no at route (service checks quote.customer_id),no,quote.customer_id==customer_id,quote status validated,none found,SAME_JOB_DISTINCT_CAPABILITY
complete_assessment,yes,yes,no,yes (assessment phase of same lifecycle),no,no (assessment not job-completion),no,no,require_staff_or_technician_only (fixed 2F-14A),n/a,n/a,assigned_staff_id==actor_id,n/a,requires ASSESSMENT_STARTED,none found,SAME_JOB_SAME_CAPABILITY
start_assessment,yes,yes,no,yes,no,no,no,no,require_staff_or_technician_only (fixed 2F-14A),n/a,n/a,assigned_staff_id==actor_id,n/a,requires ARRIVED,none found,SAME_JOB_SAME_CAPABILITY
close_job,yes,yes,yes (CommissionRecord/InvoiceRecord via billing),no (financial phase),no,yes (->CLOSED),no,yes,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_billing),yes (_get_job_for_billing),no,requires PAID + commission_deducted,none found,SAME_JOB_FINANCIAL_CAPABILITY
convert_to_repair,yes,yes (creates new Job),no,no (spawns distinct Job),no,no,no,no,require_permission(FIELD_OPS_JOBS_ASSIGN),no,yes (_get_job_for_assignment),n/a,no,requires CONSULTATION + QUOTE_APPROVED,none found,SAME_JOB_DISTINCT_CAPABILITY
deduct_commission,yes,yes,yes (CommissionRecord),no,no,no,no,yes,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_billing),yes (_get_job_for_billing),no,requires invoice_id; idempotent,none found,SAME_JOB_FINANCIAL_CAPABILITY
financial_close,yes,yes,yes (Invoice+Payment+Commission),no,no,yes (->CLOSED),no,yes,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_billing),yes (_get_job_for_billing),no,composed of generate_invoice+record_payment+deduct_commission+close,none found,SAME_JOB_FINANCIAL_CAPABILITY
generate_invoice,yes,yes,yes (InvoiceRecord),no,no,no,no,yes,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_billing),yes (_get_job_for_billing),no,requires SIGNED_OFF/COMPLETED; duplicate guard,none found,SAME_JOB_FINANCIAL_CAPABILITY
add_media,yes,no,yes (JobMedia),no,no,no,yes,no,get_current_user (route unchanged); service denies customer (fixed 2F-14A),service-level (fixed 2F-14A),service-level (fixed 2F-14A),service-level (fixed 2F-14A),denied,tenant_id now derived from job (fixed 2F-14A),none found,SAME_JOB_MEDIA_CAPABILITY
add_note,yes,no,yes (JobNote),no,no,no,yes,no,get_current_user (route unchanged); service denies customer (fixed 2F-14A),service-level (fixed 2F-14A),service-level (fixed 2F-14A),service-level (fixed 2F-14A),denied,tenant_id now derived from job (fixed 2F-14A),none found,SAME_JOB_NOTE_CAPABILITY
create_quote,yes,no,yes (JobQuote legacy),no,no,no,no,no,get_current_user,no,no (job lookup only),no,no,job existence only,none found,SAME_JOB_DISTINCT_CAPABILITY
create_job_quote,yes,no,yes (JobQuote),no,yes (requires ASSESSMENT_COMPLETE),no,no,no,get_current_user,no,yes (_get_job_for_quote_management),no,no,requires ASSESSMENT_COMPLETE,none found,SAME_JOB_DISTINCT_CAPABILITY
approve_job_quote,yes,no,yes (JobQuote),no,no,triggers QUOTE_APPROVED,no,no,get_current_user + inline role==customer check,no,no,no,yes (_get_quote_for_customer),quote status==sent,none found,SAME_JOB_DISTINCT_CAPABILITY
reject_job_quote,yes,no,yes (JobQuote),no,no,no,no,no,get_current_user + inline role==customer check,no,no,no,yes (_get_quote_for_customer),reason required,none found,SAME_JOB_DISTINCT_CAPABILITY
send_job_quote,yes,no,yes (JobQuote),no,no,no,no,no,get_current_user,no,yes (_get_job_for_quote_management),no,no,quote not already sent/approved/rejected,none found,SAME_JOB_DISTINCT_CAPABILITY
record_payment,yes,yes,yes (PaymentRecord),no,no,no,no,yes,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_billing),yes (_get_job_for_billing),no,requires invoice_id; duplicate guard on payment_id,none found,SAME_JOB_FINANCIAL_CAPABILITY
spawn_repair,yes,yes (creates new Job),no,no (spawns distinct Job),no,no,no,no,require_permission(TENANT_UPDATE),no,no (job lookup only -- no ownership check),no,no,requires CONSULTATION,none found,SAME_JOB_DISTINCT_CAPABILITY
void_job,yes,yes,no,yes (terminal state alternate to close/complete),no,yes (->VOIDED),no,no,require_tenant_mutation_permission (fixed 2F-14A),yes (fixed),yes (_get_job_for_assignment -- fixed 2F-14A; was a cross-tenant IDOR),no,no,not TERMINAL/LOCKED,none found,SAME_JOB_COMPLETION_ALTERNATE
