method,path,held_module,related_canonical_module,same_boundary_as_M01,mandatory_before_module_closure,can_defer_safely
POST,/v1/serviceability/check,serviceability,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/compliance/deletion-requests,compliance,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/compliance/portability-requests,compliance,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/security/api-keys/{key_id}/rotate,security,adjacent_to_M01 (separate app.engines.security.router; API-key domain),no,no (not on selected M01 boundary),yes
POST,/v1/security/api-keys/{key_id}/revoke,security,adjacent_to_M01 (separate app.engines.security.router; API-key domain),no,no (not on selected M01 boundary),yes
POST,/v1/chat/conversations/{conversation_id}/messages,chat,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/payments/tenants/{tenant_id}/payout,payments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/inventory/reservations,inventory,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/inventory/reservations/confirm,inventory,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/inventory/reservations/release,inventory,no canonical module in queue,no,no (not on selected M01 boundary),yes
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,subscriptions,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/documents,documents,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/documents/{document_id}/send,documents,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/documents/{document_id}/void,documents,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/bookings,bookings,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/appointments/{appointment_id}/confirm,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/appointments/{appointment_id}/cancel,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/appointments/{appointment_id}/reschedule,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/appointments/{appointment_id}/no-show,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/catalog,catalog,M07_provider_catalog_setup (adjacent),no,no (not on selected M01 boundary),yes
PUT,/v1/catalog/{item_id},catalog,M07_provider_catalog_setup (adjacent),no,no (not on selected M01 boundary),yes
POST,/v1/geo/tenants/{tenant_id}/zones,geo,M11_geo_zones,no,no (not on selected M01 boundary),yes
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,geo,M11_geo_zones,no,no (not on selected M01 boundary),yes
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,no canonical module in queue,no,no (not on selected M01 boundary),yes
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
