route,object,parent,ownership_check_after,reparenting_possible,foreign_object_response,missing_object_response,response_indistinguishable
DELETE /v1/webhooks/endpoints/{endpoint_id},WebhookEndpoint,none (top-level tenant resource),tenant match required via _require_trusted_tenant,NOT APPLICABLE -- no reparenting operation exists,NotFoundException(WebhookEndpoint),NotFoundException(WebhookEndpoint),YES
POST /v1/rag/query,KnowledgeBase,none (top-level tenant resource),tenant match required via _get_kb_trusted,NOT APPLICABLE,NotFoundException(KnowledgeBase),NotFoundException(KnowledgeBase),YES
POST /v1/security/api-keys/{key_id}/rotate,APIKey,none (top-level tenant resource),tenant match required via _require_trusted_tenant,NOT APPLICABLE,NotFoundException(APIKey),NotFoundException(APIKey),YES
POST /v1/security/api-keys/{key_id}/revoke,APIKey,none (top-level tenant resource),tenant match required via _require_trusted_tenant,NOT APPLICABLE,NotFoundException(APIKey),NotFoundException(APIKey),YES
POST /v1/documents,Document (new),none (create),tenant match required via _require_trusted_tenant,NOT APPLICABLE (create only),PERMISSION_DENIED before any row is created,n/a (create-only route),YES -- PERMISSION_DENIED identical regardless of whether tenant_id is real
POST /v1/documents/{document_id}/send,Document,none (top-level tenant resource),tenant match required via query predicate,NOT APPLICABLE,NotFoundException(Document),NotFoundException(Document),YES
POST /v1/documents/{document_id}/void,Document,none (top-level tenant resource),tenant match required via query predicate,NOT APPLICABLE,NotFoundException(Document),NotFoundException(Document),YES
DELETE /v1/rag/knowledge-bases/{kb_id},KnowledgeBase,none (top-level tenant resource),tenant match required via _get_kb_trusted,NOT APPLICABLE,NotFoundException(KnowledgeBase),NotFoundException(KnowledgeBase),YES
POST /v1/rag/knowledge-bases/{kb_id}/documents,KBDocument (new),KnowledgeBase (parent),parent KB tenant match required via _get_kb_trusted BEFORE the document is created,NOT APPLICABLE (create only; new document inherits the verified KB's tenant),PERMISSION_DENIED/NotFoundException before any row is created (foreign KB),n/a (create-only for the document; KB lookup can 404),YES
DELETE /v1/rag/documents/{doc_id},KBDocument,KnowledgeBase (parent, not independently re-verified this slice -- KBDocument.tenant_id used directly),tenant match required via KBDocument.tenant_id query predicate,NOT APPLICABLE,NotFoundException(KBDocument),NotFoundException(KBDocument),YES
POST /v1/rag/documents/{doc_id}/reindex,KBDocument,KnowledgeBase (parent, not independently re-verified this slice),tenant match required via KBDocument.tenant_id query predicate,NOT APPLICABLE,NotFoundException(KBDocument),NotFoundException(KBDocument),YES
