module,method,path,endpoint,guard_status
M01_identity_credentials,DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,PATCH,/v1/auth/api-keys/{key_id},update_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,POST,/v1/auth/api-keys,create_api_key,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,POST,/v1/auth/change-password-required,change_password_required,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M01_identity_credentials,POST,/v1/auth/impersonate,impersonate,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,POST,/v1/auth/mfa/confirm,confirm_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M01_identity_credentials,POST,/v1/auth/mfa/disable,disable_mfa,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M01_identity_credentials,POST,/v1/auth/staff/invite,invite_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,PERMISSION_ONLY_NOT_SCOPE_AWARE
M01_identity_credentials,PUT,/v1/auth/me,update_profile,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M01_identity_credentials,PUT,/v1/auth/password/change,change_password,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M01_identity_credentials,PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,PERMISSION_ONLY_NOT_SCOPE_AWARE
M02_media_assets,DELETE,/v1/provider/profile/logo,remove_provider_logo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M02_media_assets,DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M02_media_assets,DELETE,/v1/staff/profile/photo,remove_staff_profile_photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M02_media_assets,POST,/v1/me/profile-photo,upload_my_profile_photo,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M02_media_assets,POST,/v1/media/upload,upload_media,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M02_media_assets,POST,/v1/media/{media_id}/replace,replace_media,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M02_media_assets,POST,/v1/provider/profile/logo,upload_provider_logo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M02_media_assets,POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M02_media_assets,POST,/v1/staff/profile/photo,upload_staff_profile_photo,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M03_enterprise_grid_views,DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M03_enterprise_grid_views,POST,/v1/enterprise/exports,create_export,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M03_enterprise_grid_views,POST,/v1/enterprise/saved-views,create_saved_view,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M03_enterprise_grid_views,POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M03_enterprise_grid_views,PUT,/v1/enterprise/column-preferences,save_column_preferences,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M03_enterprise_grid_views,PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M07_provider_catalog_setup,POST,/v1/provider/brands/requests,create_brand_request,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M07_provider_catalog_setup,POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M07_provider_catalog_setup,POST,/v1/provider/setup/recommendations,provider_setup_recommendations,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M07_provider_catalog_setup,POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M04_profile_self_service,POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M04_profile_self_service,PUT,/v1/me/profile,update_my_profile,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M04_profile_self_service,PUT,/v1/provider/business-profile,update_business_profile,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M04_profile_self_service,PUT,/v1/staff/profile,update_staff_profile,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
M05_marketing_automation,POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M05_marketing_automation,POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M05_marketing_automation,PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M06_security_deposit,GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE
M06_security_deposit,GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,PERMISSION_ONLY_NOT_SCOPE_AWARE
M06_security_deposit,POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE
M08_analytics_reports,POST,/v1/provider/reports/run,provider_run_report,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M09_rag_knowledge,POST,/v1/rag/query,query,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
M10_webhook_integration,DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,PERMISSION_ONLY_NOT_SCOPE_AWARE
M11_geo_zones,DELETE,/v1/geo/zones/{zone_id},delete_zone,PERMISSION_ONLY_NOT_SCOPE_AWARE
