router_file,domain,mutation_endpoint_count,current_guard_pattern,tenant_scoping_mechanism,read_only_currently_blocked,verification
app/engines/admin_catalog/tenant_router.py,Services/Categories/Types/Options/Pricing,10,require_tenant_mutation_permission (all 10),TenantScopeService + access_scope check inline,YES - fully covered,RUNTIME_VERIFIED
app/engines/analytics/provider_router.py,Analytics/KB,1,not resolved to require_permission or require_tenant_mutation_permission in this pass - likely role-only or a differently-named dependency,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/brands/provider_router.py,Brand setup (dead engine - see Phase 1 finding: this specific file is never mounted),2,N/A - confirmed disconnected in Phase 1's router inventory; canonical brand mutations live in admin_catalog instead,N/A,N/A - unreachable via HTTP,SOURCE_VERIFIED (Phase 1 finding, re-confirmed applicable)
app/engines/complaints/provider_router.py,Complaints/Rework/Refund,9,not require_tenant_mutation_permission; likely require_permission or role-only - not individually resolved this slice,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/compliance/provider_router.py,DPDP compliance requests,6,role-only guards detected (19 hits across file - likely require_tenant_owner/require_staff_or_above style),TenantScopeService (assumed),NO - not covered,SOURCE_INFERRED
app/engines/customer_credits/provider_router.py,Provider-side finance/credit view,0 mutation endpoints detected by decorator grep,role-only guards detected (5 hits) but 0 mutations - likely read-only router,N/A,N/A - appears read-only already,SOURCE_INFERRED
app/engines/customer_reviews/provider_router.py,Provider review replies,2,not resolved this slice,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/entitlement/tenant_router.py,Tenant module/category entitlement (self-read),0 mutation endpoints detected,role-only guards detected (4 hits) - appears to be a self-read-only router (GET /v1/tenant/me),N/A,N/A - appears read-only already,SOURCE_INFERRED
app/engines/final_records/provider_router.py,Booking confirmation (provider side),0 mutation endpoints detected by this pass's grep pattern,not resolved,not independently re-verified,UNVERIFIED,SOURCE_INFERRED - possible grep miss, not confirmed genuinely zero mutations
app/engines/home_service_assignment/provider_router.py,Technician assignment,4,not require_tenant_mutation_permission; not resolved to require_permission or role-only pattern this slice,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/invoice_payment/provider_router.py,Provider invoices/wallet/subscription,4,not resolved this slice,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/marketing_automation/provider_router.py,Marketing campaigns,3,not resolved this slice,not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/package_commerce/tenant_router.py,Package/security-deposit tenant view,1,role-only guards detected (2 hits),not independently re-verified,NO - not covered (1 mutation endpoint exists),SOURCE_INFERRED
app/engines/platform_notifications/provider_router.py,Provider chat/notifications,10,not resolved this slice - likely require_permission (chat send/read),not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/quote_checklist/provider_router.py,Quote creation/checklist,11,not resolved this slice - likely require_permission (quote-specific permissions),not independently re-verified,NO - not covered,SOURCE_INFERRED
app/engines/trust_quality/provider_router.py,Trust & quality (provider-facing),0 mutation endpoints detected,not resolved,N/A - appears read-only already,SOURCE_INFERRED
