method,path,module,current_status,assigned_future_slice
POST,/v1/serviceability/check,serviceability,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/compliance/deletion-requests,compliance,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/compliance/portability-requests,compliance,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/security/api-keys/{key_id}/rotate,security,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/security/api-keys/{key_id}/revoke,security,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/chat/conversations/{conversation_id}/messages,chat,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/payments/tenants/{tenant_id}/payout,payments,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/inventory/reservations,inventory,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/inventory/reservations/confirm,inventory,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/inventory/reservations/release,inventory,PENDING_MODULE_ADJUDICATION,2F-36
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,subscriptions,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/documents,documents,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/documents/{document_id}/send,documents,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/documents/{document_id}/void,documents,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/bookings,bookings,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/appointments/{appointment_id}/confirm,appointments,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/appointments/{appointment_id}/cancel,appointments,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/appointments/{appointment_id}/reschedule,appointments,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/appointments/{appointment_id}/no-show,appointments,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,PENDING_MODULE_ADJUDICATION,2F-36
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,PENDING_MODULE_ADJUDICATION,2F-36
