persona,canonical_role,permission,module,read_allowed,create_allowed,update_allowed,approve_allowed,delete_allowed,export_allowed,tenant_scoped,route_enforcement,service_enforcement,frontend_visibility,verification,notes
Tenant Owner,tenant_owner,full ROLE_PERMISSIONS bundle,Business profile,yes,n/a,yes,n/a,n/a,yes,yes (TenantScopeService),require_permission,not independently re-verified this slice,shown in tenant-owner shell,RUNTIME_VERIFIED,unchanged from prior slices
Tenant Owner,tenant_owner,full bundle,Staff,yes,yes (invite/create),yes,n/a,yes (offboard),yes,yes,require_super_admin on the admin-side create; tenant self-service path uses tenant scoping,not independently re-verified,shown,SOURCE_VERIFIED,
Tenant Owner,tenant_owner,full bundle,Services/Pricing,yes,yes,yes,n/a,yes,yes,yes,require_permission,not re-verified,shown,SOURCE_VERIFIED,
Tenant Owner,tenant_owner,full bundle,Jobs,yes,n/a (system-created),yes (assign),n/a,n/a,yes,yes,require_permission,not re-verified,shown,SOURCE_VERIFIED,
Tenant Owner,tenant_owner,full bundle,Quotes,yes,yes,yes,n/a (customer approves),n/a,yes,yes,require_permission,not re-verified,shown,SOURCE_VERIFIED,
Tenant Owner,tenant_owner,full bundle,Credits/Finance,yes,n/a,yes (topup request),n/a,n/a,yes,yes,require_permission,not re-verified,shown,SOURCE_VERIFIED,
Tenant Owner,tenant_owner,full bundle,Settings,yes,n/a,yes,n/a,n/a,n/a,yes,require_permission,not re-verified,shown,SOURCE_VERIFIED,
Tenant Manager (proposed),staff + overrides,BLOCKED - overrides never wired,Business profile,yes (SETTINGS_READ),no,BLOCKED,n/a,no,no,yes,require_permission (base bundle only),N/A - override never reaches service layer,would need frontend permission-filtering not built,RUNTIME_VERIFIED (blocker),cannot grant beyond base staff bundle today
Tenant Manager (proposed),staff + overrides,BLOCKED,Staff,no (base bundle has no staff-list permission),BLOCKED,BLOCKED,n/a,BLOCKED,no,yes,require_permission,N/A,not built,RUNTIME_VERIFIED (blocker),
Tenant Manager (proposed),staff + overrides,BLOCKED,Jobs (team-wide),partial (own jobs only via FIELD_OPS_JOBS_READ),n/a,partial (own jobs only),n/a,no,no,yes (own-job scoped, not team-wide),require_permission + service-layer own-job filter,service enforces own-job scoping,not built for team view,RUNTIME_VERIFIED,team-wide job visibility requires override wiring
Tenant Manager (proposed),staff + overrides,BLOCKED,Quotes (team-wide),partial (own jobs),BLOCKED (team-wide),partial (own jobs),BLOCKED (team-wide approval),no,no,yes (own-job scoped),require_permission,service enforces own-job scoping,not built,RUNTIME_VERIFIED,
Tenant Manager (proposed),staff + overrides,BLOCKED,Credits/Finance,BLOCKED,BLOCKED,BLOCKED,BLOCKED,no,no,yes,require_permission (base bundle lacks any finance permission),N/A,not built,RUNTIME_VERIFIED,
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Business profile,yes,NOT GUARANTEED,NOT GUARANTEED,n/a,NOT GUARANTEED,NOT GUARANTEED,yes,require_permission only (not one of the 2 covered engines - unverified which engine this is),N/A,not built,RUNTIME_VERIFIED (gap),mutation would only be blocked if this specific engine happens to be 1 of the 2 covered ones
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Services/Pricing,yes,NOT GUARANTEED,NOT GUARANTEED,n/a,NOT GUARANTEED,NOT GUARANTEED,yes,require_permission (uncovered engine, unverified),N/A,not built,RUNTIME_VERIFIED (gap),
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Jobs,yes,NOT GUARANTEED,NOT GUARANTEED,n/a,NOT GUARANTEED,NOT GUARANTEED,yes,require_permission (uncovered engine, unverified),N/A,not built,RUNTIME_VERIFIED (gap),
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Quotes,yes,NOT GUARANTEED,NOT GUARANTEED,NOT GUARANTEED,NOT GUARANTEED,NOT GUARANTEED,yes,require_permission (uncovered engine, unverified),N/A,not built,RUNTIME_VERIFIED (gap),
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Credits,yes,NOT GUARANTEED,NOT GUARANTEED,n/a,NOT GUARANTEED,NOT GUARANTEED,yes,require_permission (uncovered engine, unverified),N/A,not built,RUNTIME_VERIFIED (gap),
Tenant Read-Only (proposed),staff + access_scope,PARTIALLY ENFORCEABLE,Settings,yes,n/a,NOT GUARANTEED,n/a,n/a,n/a,yes,require_permission (uncovered engine, unverified),N/A,not built,RUNTIME_VERIFIED (gap),this is the single confirmed live test below
Technician,technician,ROLE_PERMISSIONS[technician],Jobs (own),yes,n/a,yes (status transitions),n/a,n/a,no,yes,require_permission,RUNTIME_VERIFIED across Slices 1-2B,shown in /staff/jobs,RUNTIME_VERIFIED,extensively proven in prior slices
Technician,technician,base bundle,Parts Request,yes,yes (create request),no,no,no,no,yes,require_permission (ServiceJob-scoped),RUNTIME_VERIFIED (Slice 1),shown,RUNTIME_VERIFIED,confirmed no Mark Installed access
