canonical_row_key,field,before,after,change,evidence
CR-01,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
CR-02,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
MA-01,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
MA-02,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
MA-03,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
AN-01,guard_status,UNVERIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-01,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-02,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-03,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-04,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-05,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
ME-06,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
PR-01,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
PR-02,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
PR-03,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
BR-01,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
BR-02,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
RC-01,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
SO-01,guard_status,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,PERMISSION_ONLY_NOT_SCOPE_AWARE,PRECISION_CORRECTION,"live runtime walk; neither old nor new value is in the VERIFIED set, so numerator/denominator unchanged"
