artifact,class,status,reason
implementation-summary.md,REQUIRED,PRODUCED,
capability-action-rule-inventory.csv,REQUIRED,PRODUCED,
action-tokenization-contract.md,REQUIRED,PRODUCED,
action-synonym-mapping.csv,REQUIRED,PRODUCED,
deterministic-action-precedence.md,REQUIRED,PRODUCED,
action-conflict-report.md,REQUIRED,PRODUCED,
d09-regression-report.md,REQUIRED,PRODUCED,
action-verifier-negative-fixtures.csv,REQUIRED,PRODUCED,
action-verifier-report.md,REQUIRED,PRODUCED,
burned-corpus-regression-report.md,REQUIRED,PRODUCED,
final-eligible-population.csv,REQUIRED,PRODUCED,
final-population-arithmetic.md,REQUIRED,PRODUCED,
fifth-holdout-manifest.csv,REQUIRED,PRODUCED,
fifth-holdout-reserve-set.csv,REQUIRED,PRODUCED,
fifth-holdout-freeze-evidence.md,REQUIRED,PRODUCED,
fifth-manual-adjudication.csv,REQUIRED,PRODUCED,
fifth-manual-evidence-review.csv,REQUIRED,PRODUCED,
fifth-manual-hash-evidence.md,REQUIRED,PRODUCED,
fifth-classifier-verdict.csv,REQUIRED,PRODUCED,
fifth-tool-manual-comparison.csv,REQUIRED,PRODUCED,
fifth-validation-report.md,REQUIRED,PRODUCED,
proposed-route-reconfirmation.csv,REQUIRED,PRODUCED,
strict-canonical-edit-gate.md,REQUIRED,PRODUCED,
canonical-hash-evidence.md,REQUIRED,PRODUCED,
matrix-hash-evidence.md,REQUIRED,PRODUCED,
closed-module-canary-report.md,REQUIRED,PRODUCED,
security-observations-not-remediated.md,REQUIRED,PRODUCED,
behavioral-invariant-report.md,REQUIRED,PRODUCED,
baseline-freeze-evidence.md,REQUIRED,PRODUCED,
regression-comparison.csv,REQUIRED,PRODUCED,
environment-test-evidence.md,REQUIRED,PRODUCED,
test-quality-report.md,REQUIRED,PRODUCED,
test-report.md,REQUIRED,PRODUCED,
approval-gate.md,REQUIRED,PRODUCED,
artifact-manifest.csv,REQUIRED,PRODUCED,
canonical-row-diff.csv,CONDITIONAL,NOT_PRODUCED,strict gate failed -> no canonical edit -> conditional artifacts intentionally omitted
limited-coverage-reconciliation.md,CONDITIONAL,NOT_PRODUCED,strict gate failed -> no canonical edit -> conditional artifacts intentionally omitted
canonical-coverage-arithmetic.csv,CONDITIONAL,NOT_PRODUCED,strict gate failed -> no canonical edit -> conditional artifacts intentionally omitted
provisional-queue-update.csv,CONDITIONAL,NOT_PRODUCED,strict gate failed -> no canonical edit -> conditional artifacts intentionally omitted
