module,endpoint_prefix,canonical_or_non_canonical,role,workflow,workspace,ui_coverage,duplicate,deprecated,disconnected,verification,notes
tenant_engine,/v1/tenants,canonical,super_admin/guest,Business onboarding & approval,Business Approval workspace,covered (split across 2 pages),possible dup with tenant_engine/admin_router.py,no,no,SOURCE_VERIFIED,two tenant-admin surfaces under different prefixes
tenant_engine,/v1/admin/tenants,canonical,super_admin,Business onboarding & approval,Business Approval workspace,covered,possible dup with /v1/tenants,no,no,SOURCE_VERIFIED,
tenant_engine,/v1/tenant,canonical,tenant_owner,Business profile/team/wallet self-service,Business/Team/Finance workspaces,covered,no,no,no,SOURCE_VERIFIED,
public_registration,/v1/public,canonical,guest,Business/customer registration,Public signup,covered,no,no,no,SOURCE_VERIFIED,
entitlement,/v1/admin/tenants/{id}/entitlements; /v1/tenant/me,canonical,super_admin/tenant_owner,Module/category entitlement,Business detail (advanced),partial (not surfaced as primary workflow UI),no,no,no,SOURCE_VERIFIED,
vertical_catalog,/v1/admin/verticals; /v1/admin/catalog,canonical,super_admin,Category management,Services workspace,covered,no,no,no,SOURCE_VERIFIED,
admin_catalog,/v1/admin*; /v1/tenant/catalog; /v1/catalog/master; /v1/provider/setup/services,canonical,super_admin/tenant_owner/customer,Service/pricing/option/brand setup,Services workspace + Provider Setup wizard,covered,no,no,no,SOURCE_VERIFIED,
brands,/v1/admin (brand CRUD); /v1/provider (brand setup),non_canonical,-,Brand assignment,-,none - superseded,yes - dup of admin_catalog brand routers,no,YES - never mounted,SOURCE_VERIFIED,dead code, safe to delete
service_setup,/v1/admin/service-setup/templates; /v1/admin/service-setup/bulk-wizard,UNVERIFIED,super_admin,Service setup templating,Services workspace (advanced),partial,yes - dup of admin_catalog/service_setup_template_router.py,no,no,SOURCE_VERIFIED,needs reconciliation
auto_price_options,/v1/admin/home-services; /v1/tenant/home-services,canonical,super_admin/tenant_owner,Pricing (auto Low/Mid/High),Services workspace,covered,no,no,no,RUNTIME_VERIFIED,replaced manual bargain module
customer_flow,/v1/... (admin_catalog customer_flow_router + standalone customer_flow engine),UNVERIFIED,customer,Customer category flow,Booking flow,covered but via unclear which impl,yes - two engines,no,no,SOURCE_VERIFIED,needs reconciliation
provider_portal,/v1/provider; /v1/admin,canonical,tenant_owner/staff,Team management,Team workspace,covered,no,no,no,SOURCE_VERIFIED,
field_ops,/v1/jobs; /v1/staff/me/jobs; /v1/customer/jobs; /v1/customer/quotes; /v1/customer/invoices; /v1/tenant/finance; /v1/admin/finance,non_canonical (legacy),various,Booking/job/quote/invoice (legacy),-,unknown - not confirmed which frontend still calls this,yes - parallel to ServiceJob/quote_checklist/invoice_payment,no,no (still mounted),SOURCE_VERIFIED,third parallel job model; confirm zero callers before retiring
booking,/v1/bookings; /v1/admin/bookings,non_canonical (legacy),super_admin,Booking/job (legacy),/admin/bookings page (RETIRE per disposition matrix),covered but on wrong model,yes - parallel to ServiceJob,self-labeled legacy in code,no (still mounted),SOURCE_VERIFIED,router docstring says "Legacy / unchanged endpoints"
home_service_booking,/v1/customer (draft flow),canonical,customer,Booking creation (draft phase),Booking flow,covered,no,2 endpoints explicitly DEPRECATED (match-providers, select-provider),no,SOURCE_VERIFIED,superseded by match-and-price
final_records,/v1/customer; /v1/provider; /v1/admin (confirm),canonical,customer/tenant_owner/super_admin,Booking confirmation → ServiceJob creation,Booking flow,covered,no,no,no,RUNTIME_VERIFIED,
home_service_assignment,(assignment prefix),canonical,tenant_owner/staff/technician/customer,Technician assignment,My Jobs / Booking Exception workspace,covered,no,no,no,SOURCE_VERIFIED,
