method,path,module,slice2f27_proposed_persona,existing_canonical_status,reason_not_applied,required_future_evidence,suggested_module_boundary,status
POST,/v1/serviceability/check,serviceability,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.serviceability,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/compliance/deletion-requests,compliance,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.compliance,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/compliance/portability-requests,compliance,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.compliance,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/security/api-keys/{key_id}/rotate,security,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.security,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/security/api-keys/{key_id}/revoke,security,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.security,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/chat/conversations/{conversation_id}/messages,chat,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.chat,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/payments/tenants/{tenant_id}/payout,payments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.payments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/inventory/reservations,inventory,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
