method,path,held_module,disposition,rationale,canonical_added,protected_this_slice
POST,/v1/serviceability/check,serviceability,READ_ONLY_EXCLUDE,"Read-only lookup (no DB write in check_serviceability); already guarded by require_permission(P.SERVICEABILITY_CHECK); not a mutation.",NO,N/A (already guarded)
POST,/v1/chat/conversations/{conversation_id}/messages,chat,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation (creates Message row); tenant_id was a fully client-controlled query param with zero comparison to caller's own tenant -- real cross-tenant IDOR. Fixed via ChatService._require_trusted_tenant + _require_participant for customer principals.",YES,YES
POST,/v1/inventory/tenants/{tenant_id}/items,inventory,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was a client-controlled path param with zero comparison to caller's tenant. Fixed via InventoryService._require_trusted_tenant.",YES,YES
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,inventory,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was a client-controlled body field. Fixed via InventoryService._require_trusted_tenant.",YES,YES
POST,/v1/inventory/reservations,inventory,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was a client-controlled body field. Fixed via InventoryService._require_trusted_tenant.",YES,YES
POST,/v1/inventory/reservations/confirm,inventory,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation; tenant_id was a client-controlled body field, AND the StockReservation lookup itself had no tenant_id predicate. Fixed via InventoryService._require_trusted_tenant plus an added StockReservation.tenant_id WHERE predicate.",YES,YES
POST,/v1/inventory/reservations/release,inventory,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as confirm_reservation.",YES,YES
POST,/v1/bookings,bookings,CUSTOMER_SELF_SERVICE_EXCLUDE,"create_booking is CUSTOMER_SELF_SERVICE_MUTATION per the pre-existing booking.router matrix documentation (Slice 2F-15C) -- reachable by the customer persona, excluded from the tenant-only canonical CSV (Design A). Already protected: require_tenant_mutation_permission(P.BOOKING_CREATE), server-derived customer_id, and an explicit rejection of any client-supplied tenant_id. No code change needed; confirmed via direct source read, not assumed from the held-registry label.",NO,YES (already protected)
POST,/v1/appointments/{appointment_id}/confirm,appointments,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation, identified by appointment_id alone with zero tenant/customer ownership check. Fixed via AppointmentService._assert_appt_access (tenant match for staff, customer_id match for customers, super_admin exempt); non-oracular (raises NotFoundException for a foreign appointment, same as missing).",YES,YES
POST,/v1/appointments/{appointment_id}/cancel,appointments,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as confirm_hold.",YES,YES
POST,/v1/appointments/{appointment_id}/reschedule,appointments,TENANT_PROVIDER_MUTATION_ADD,"Same defect and fix as confirm_hold.",YES,YES
POST,/v1/appointments/{appointment_id}/no-show,appointments,TENANT_PROVIDER_MUTATION_ADD,"Same defect; role already permission-gated (TENANT_UPDATE) but no ownership check. Fixed via require_tenant_mutation_permission + _assert_appt_access.",YES,YES
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,TENANT_PROVIDER_MUTATION_ADD,"tenant_id was a client-controlled query param. Fixed via require_tenant_mutation_permission + AppointmentService._require_trusted_tenant.",YES,YES
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,TENANT_PROVIDER_MUTATION_ADD,"block_id-only lookup with zero tenant check. Fixed via require_tenant_mutation_permission + an added tenant ownership check on StaffCalendarBlock.",YES,YES
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,TENANT_PROVIDER_MUTATION_ADD,"tenant_id was a client-controlled query param. Fixed via require_tenant_mutation_permission + AppointmentService._require_trusted_tenant.",YES,YES
POST,/v1/catalog,catalog,TENANT_PROVIDER_MUTATION_ADD,"tenant_id was a client-controlled body field. Fixed via require_tenant_mutation_permission + ServiceCatalogService._require_trusted_tenant.",YES,YES
PUT,/v1/catalog/{item_id},catalog,TENANT_PROVIDER_MUTATION_ADD,"item_id-only lookup with zero tenant check. Fixed via require_tenant_mutation_permission + an added tenant ownership check on ServiceCatalogItem.",YES,YES
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,TENANT_PROVIDER_MUTATION_ADD,"tenant_id was a client-controlled body field with zero comparison to the actual Job's own tenant, allowing a tenant to dispatch another tenant's job to their own staff pool. Fixed via require_tenant_mutation_permission + DispatchService._require_trusted_tenant + a job.tenant_id cross-check before advancing the job.",YES,YES
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,TENANT_PROVIDER_MUTATION_ADD,"job_id-only lookup with zero tenant check. Fixed via require_tenant_mutation_permission + an added tenant ownership check on DispatchRecord.",YES,YES
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,READ_ONLY_EXCLUDE,"Read-only analytics lookup, no persisted mutation of tenant-owned business records. Cross-tenant read risk noted as a known limitation (privacy, not mutation-scope) -- out of this slice's mutation-enforcement objective.",NO,N/A
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,READ_ONLY_EXCLUDE,"Same as churn/score.",NO,N/A
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,TENANT_PROVIDER_MUTATION_ADD,"Genuine mutation (forces/writes forecast recompute); tenant_id was a client-controlled path param. Fixed via require_tenant_mutation_permission + DSService._require_trusted_tenant.",YES,YES
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,TENANT_PROVIDER_MUTATION_ADD,"Currently a stub (no DB write), but same tenant_id-trust defect class; fixed via require_tenant_mutation_permission + DSService._require_trusted_tenant for when it is wired to a real write.",YES,YES
