method,path,change_type,guard_status_before,guard_status_after
DELETE,/v1/webhooks/endpoints/{endpoint_id},MODIFIED,PERMISSION_ONLY_NOT_SCOPE_AWARE,TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/rag/query,MODIFIED,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,TENANT_MUTATION_ROLE_SCOPE_AWARE
POST,/v1/security/api-keys/{key_id}/rotate,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/security/api-keys/{key_id}/revoke,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/documents,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/documents/{document_id}/send,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/documents/{document_id}/void,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
DELETE,/v1/rag/knowledge-bases/{kb_id},ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
DELETE,/v1/rag/documents/{doc_id},ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
POST,/v1/rag/documents/{doc_id}/reindex,ADDED,(not canonical),TENANT_MUTATION_PERMISSION_SCOPE_AWARE
