dimension,status,evidence
Functional workflow (customer booking to review),VERIFIED,"Real records BK-20260721-000008/JOB-20260721-000008/REV-56700400, full status graph to completed, verified live during UX-07 Round 3, DB-reconfirmed at UX-07 Round 4 start"
API integration (customer app),VERIFIED,"76/76 tests, 0 typecheck errors, fresh install this pass"
Role navigation,VERIFIED_WITH_KNOWN_LIMITATION,"Canonical roles preserved app-wide; no seeded admin_readonly account exists for live verification (disclosed, not fabricated)"
Customer booking,VERIFIED,"Real bargain + standard-price paths, idempotent creation, booking list/detail, refresh persistence -- all proven live across UX-06/07"
Tenant operations,VERIFIED,"UX-04 closure: 53/53 unit + 87/87 Playwright, real booking/assignment visibility proven during UX-07 Round 3"
Staff operations,VERIFIED_WITH_KNOWN_LIMITATION,"UX-05 closure: 56/56 tests, real job workflow/status transitions; quote/checklist/parts-creation gaps carried forward as BACKEND_BLOCKED (see unsupported-capability-registry.csv)"
Super Admin operations,VERIFIED,"13/13 tests (3 consecutive stable runs, UX-07 Round 4 Pass 1), real Playwright login/dashboard/tenant-list/pricing/packages/logout"
Theme system,VERIFIED,"System/Light/Dark modes, AsyncStorage persistence, no startup flash, stability-proven 25/25+10/10+5/5 repeated runs (UX-07 Pass 3c)"
Accessibility readiness,VERIFIED_WITH_KNOWN_LIMITATION,"1 CRITICAL + 3 HIGH + 7 MEDIUM real findings fixed on Home/SmartBot/bottom-nav; some LOW items and full app-wide WCAG certification remain out of scope"
Test stability,VERIFIED,"Customer 76/76 reconfirmed this pass via fresh install; ThemeContext flake root-caused and fixed with repeated-run proof"
Build readiness,VERIFIED,"Customer typecheck 0 errors reconfirmed this pass; Super Admin/Tenant Portal builds verified in their own UX-07 rounds"
Backend blockers,BACKEND_BLOCKED,"See backend-contract-handoff.md: offering_type_id contract, review-validation-500, quote/checklist integration, technician-parts-creation -- all precisely ticketed, none fixed in UX-08 (correctly out of scope)"
Unsupported functionality,PRODUCT_DECISION_REQUIRED,"Customer cancellation/rescheduling, Booking Exception Resolution -- both remain deliberately unbuilt pending product decisions"
Final visual design,DESIGN_REPLACEMENT_PENDING,"Customer visual design scheduled for replacement in a future dedicated phase; functional contracts preserved (see customer-redesign-handoff.md)"
Responsive certification,DEFERRED,"DEFERRED_DUE_TO_PLANNED_DESIGN_REPLACEMENT per explicit user direction; see future-responsive-certification-plan.md"
Release acceptance,VERIFIED_WITH_KNOWN_LIMITATION,"Functional integration baseline is sound and evidence-backed; final visual/responsive acceptance is explicitly NOT claimed and is out of scope for this consolidation"
