artifact,class,status,reason
implementation-summary.md,REQUIRED,PRODUCED,
authorized-route-reconfirmation.csv,REQUIRED,PRODUCED,
webhook-endpoint-delete-evidence.md,REQUIRED,PRODUCED,
geo-zone-delete-evidence.md,REQUIRED,PRODUCED,
canonical-row-diff.csv,REQUIRED,PRODUCED,
mutation-enforcement-matrix-diff.csv,REQUIRED,PRODUCED,
unauthorized-candidate-hold-registry.csv,REQUIRED,PRODUCED,
canonical-coverage-arithmetic.csv,REQUIRED,PRODUCED,
current-canonical-coverage.md,REQUIRED,PRODUCED,
provisional-unprotected-queue-update.csv,REQUIRED,PRODUCED,
strict-two-route-change-guard.md,REQUIRED,PRODUCED,
canonical-hash-evidence.md,REQUIRED,PRODUCED,
matrix-hash-evidence.md,REQUIRED,PRODUCED,
closed-module-canary-report.md,REQUIRED,PRODUCED,
behavioral-invariant-report.md,REQUIRED,PRODUCED,
baseline-freeze-evidence.md,REQUIRED,PRODUCED,
regression-comparison.csv,REQUIRED,PRODUCED,
environment-test-evidence.md,REQUIRED,PRODUCED,
regression-report.md,REQUIRED,PRODUCED,
known-limitations.md,REQUIRED,PRODUCED,
deferred-items.md,REQUIRED,PRODUCED,
documentation-corrections.md,REQUIRED,PRODUCED,
test-quality-report.md,REQUIRED,PRODUCED,
test-report.md,REQUIRED,PRODUCED,
approval-gate.md,REQUIRED,PRODUCED,
artifact-manifest.csv,REQUIRED,PRODUCED,
