rule_id,pattern,match_type,family,level,priority,specificity,source,overlapping_rules,fallback_behavior
R201,^/v1/tenant/service-areas(/|$),regex_search,geography_serviceability,2,100,30,capability_rules_2f26g.RULES,,n/a
R202,^/v1/me/profile-photo(/|$),regex_search,media,2,100,26,capability_rules_2f26g.RULES,,n/a
R203,^/v1/me/notifications(/|$),regex_search,notification,2,100,26,capability_rules_2f26g.RULES,,n/a
R204,^/v1/tenant/checklist-templates(/|$),regex_search,job_execution,2,100,36,capability_rules_2f26g.RULES,,n/a
R301,^/v1/auth/staff(/|$),regex_search,staff_management,3,90,20,capability_rules_2f26g.RULES,,n/a
R302,^/v1/auth/(mfa|sessions|login|logout|token|password)(/|$),regex_search,identity_access,3,90,57,capability_rules_2f26g.RULES,,n/a
R303,^/v1/security/(sessions|api-keys)(/|$),regex_search,security_audit,3,90,38,capability_rules_2f26g.RULES,,n/a
R304,^/v1/commerce/.*/wallet(/|$),regex_search,package_commerce,3,90,28,capability_rules_2f26g.RULES,,n/a
R306,^/v1/enterprise/exports(/|$),regex_search,analytics,3,90,28,capability_rules_2f26g.RULES,,n/a
R307,^/v1/provider/notifications(/|$),regex_search,notification,3,90,32,capability_rules_2f26g.RULES,,n/a
R308,^/v1/tenants/.*/(engines|plan|trial|terminate|suspend|reinstate|feature-flags|data)(/|$),regex_search,tenant_governance,3,90,88,capability_rules_2f26g.RULES,,n/a
R401,^/v1/(auth|me)(/|$),regex_search,identity_access,4,50,19,capability_rules_2f26g.RULES,,n/a
R402,^/v1/tenants?(/|$),regex_search,tenant_governance,4,50,18,capability_rules_2f26g.RULES,,n/a
R403,^/v1/staff(/|$),regex_search,staff_management,4,50,15,capability_rules_2f26g.RULES,,n/a
R404,^/v1/customers?(/|$),regex_search,customer_account,4,50,20,capability_rules_2f26g.RULES,,n/a
R405,^/v1/(bookings?|appointments)(/|$),regex_search,booking,4,50,34,capability_rules_2f26g.RULES,,n/a
R406,^/v1/(jobs?|dispatch|field-ops)(/|$),regex_search,job_execution,4,50,36,capability_rules_2f26g.RULES,,n/a
R407,^/v1/(catalog|services)(/|$),regex_search,catalog,4,50,28,capability_rules_2f26g.RULES,,n/a
R408,^/v1/pricing(/|$),regex_search,pricing,4,50,17,capability_rules_2f26g.RULES,,n/a
R409,^/v1/(packages?|commerce)(/|$),regex_search,package_commerce,4,50,30,capability_rules_2f26g.RULES,,n/a
R410,^/v1/(payments?|invoices?|billing)(/|$),regex_search,billing,4,50,39,capability_rules_2f26g.RULES,,n/a
R411,^/v1/(reviews?|reputation)(/|$),regex_search,review_reputation,4,50,31,capability_rules_2f26g.RULES,,n/a
R412,^/v1/(notifications?|chat)(/|$),regex_search,notification,4,50,31,capability_rules_2f26g.RULES,,n/a
R413,^/v1/(compliance|privacy)(/|$),regex_search,compliance,4,50,30,capability_rules_2f26g.RULES,,n/a
R414,^/v1/(security|audit)(/|$),regex_search,security_audit,4,50,26,capability_rules_2f26g.RULES,,n/a
R415,^/v1/(analytics|ds|enterprise)(/|$),regex_search,analytics,4,50,35,capability_rules_2f26g.RULES,,n/a
R416,^/v1/marketing(/|$),regex_search,marketing,4,50,19,capability_rules_2f26g.RULES,,n/a
R417,^/v1/(webhooks?|integrations?)(/|$),regex_search,integration_webhook,4,50,35,capability_rules_2f26g.RULES,,n/a
R418,^/v1/(geo|serviceability)(/|$),regex_search,geography_serviceability,4,50,30,capability_rules_2f26g.RULES,,n/a
R419,^/v1/(media|documents)(/|$),regex_search,media,4,50,27,capability_rules_2f26g.RULES,,n/a
R420,^/v1/provider(/|$),regex_search,tenant_governance,4,50,18,capability_rules_2f26g.RULES,,n/a
R421,^/v1/inventory(/|$),regex_search,other,4,50,19,capability_rules_2f26g.RULES,,n/a
R500,(none),fallback,other,5,0,0,capability_rules_2f26g.FALLBACK,,used only when no rule matches
