method,path,mutating_get_checked,assignment_vs_comparison_checked,rule_precedence_checked,qualified_calls_resolved,request_aliases_checked,actor_vs_target_checked,ownership_predicate_checked,checklist_pass,reviewer_note
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/tenants/{tenant_id}/plan/downgrade,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/tenants/{tenant_id}/terminate/begin,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/tenants/{tenant_id}/billing/payment-method,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,yes,yes,yes,yes,yes,yes,yes,PASS,
GET,/v1/media/signed/{token},yes,yes,yes,yes,yes,yes,yes,PASS,"mutating-GET checked: no AST write in handler/callees -> PURE_READ; token-scoped, principal not scope -> abstain"
DELETE,/v1/settings/tenants/{tenant_id}/{key},yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,yes,yes,yes,yes,yes,yes,yes,PASS,AST write confirmed: DSService.recompute_ltv attribute assignment
POST,/v1/geo/tenants/{tenant_id}/zones,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/pricing/tenants/{tenant_id}/prices/set,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,yes,yes,yes,yes,yes,yes,yes,PASS,
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},yes,yes,yes,yes,yes,yes,yes,PASS,
DELETE,/v1/media/{media_id},yes,yes,yes,yes,yes,yes,yes,PASS,ownership predicate in service but principal not scope; no tenant -> abstain
DELETE,/v1/rag/knowledge-bases/{kb_id},yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/appointments/{appointment_id}/confirm,yes,yes,yes,yes,yes,yes,yes,PASS,confirm_hold ownership predicate; no tenant -> abstain
POST,/v1/auth/logout-all,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/auth/sessions/revoke-all-other,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/chat/conversations,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/compliance/deletion-requests,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/dispatch/jobs/{job_id}/accept,yes,yes,yes,yes,yes,yes,yes,PASS,"ownership predicate in accept_job; no tenant, principal not scope -> abstain"
POST,/v1/documents/{document_id}/send,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/enterprise/exports/{export_id}/retry,yes,yes,yes,yes,yes,yes,yes,PASS,ownership predicate get_export_job(u.user_id); principal IS scope -> self-service
POST,/v1/inventory/reservations,yes,yes,yes,yes,yes,yes,yes,PASS,
POST,/v1/media/upload/{session_id}/confirm,yes,yes,yes,yes,yes,yes,yes,PASS,ownership predicate in service but principal not scope; no tenant -> abstain
