method,path,endpoint,module,auth_dependencies,tenant_evidence,mutation_evidence,verdict,reason
POST,/v1/auth/mfa/confirm,confirm_mfa,,get_current_user,user.tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/mfa/disable,disable_mfa,,get_current_user,user.tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/auth/me,update_profile,,get_current_user,user.tenant_id,Update ,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/auth/password/change,change_password,,get_current_user,user.tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/sessions/{session_id}/approve,approve_device,,require_tenant_owner|get_current_user,,add,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
POST,/v1/auth/staff/invite,invite_staff,,require_auth_staff_invite|get_current_user,user.tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,,require_auth_permissions_manage|get_current_user,user.tenant_id,Update ,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,,require_auth_staff_manage|get_current_user,user.tenant_id,add|sqlalchemy.update(),CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/impersonate,impersonate,,require_platform_impersonate|get_current_user,user.tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/api-keys,create_api_key,,require_auth_apikeys_manage|get_current_user,user.tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,,require_auth_apikeys_manage|get_current_user,user.tenant_id,delete(,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PATCH,/v1/auth/api-keys/{key_id},update_api_key,,require_auth_apikeys_manage|get_current_user,user.tenant_id,Update ,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/auth/change-password-required,change_password_required,,get_current_user,user.tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
GET,/v1/provider/compliance/requests/{request_id},get_my_request,,require_technician|get_current_user|require_technician|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
GET,/v1/provider/compliance/exports/{export_id}/download,download_export,,require_tenant_owner_mutation|require_tenant_owner|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
GET,/v1/provider/compliance/staff-requests,list_staff_requests,,require_tenant_owner|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
