id,condition,fires_when_violated,restores_clean
A01,see action-verifier-report.md,YES,YES
A02,see action-verifier-report.md,YES,YES
A03,see action-verifier-report.md,YES,YES
A04,see action-verifier-report.md,YES,YES
A05,see action-verifier-report.md,YES,YES
A06,see action-verifier-report.md,YES,YES
A07,see action-verifier-report.md,YES,YES
A08,see action-verifier-report.md,YES,YES
A09,see action-verifier-report.md,YES,YES
A10,see action-verifier-report.md,YES,YES
A11,see action-verifier-report.md,YES,YES
A12,see action-verifier-report.md,YES,YES
A13,see action-verifier-report.md,YES,YES
A14,see action-verifier-report.md,YES,YES
A15,see action-verifier-report.md,YES,YES
N09,see action-verifier-report.md,YES,YES
N13,see action-verifier-report.md,YES,YES
N33,see action-verifier-report.md,YES,YES
