method,path,manual_persona,tool_persona,agree_persona,manual_tenant,tool_tenant,agree_tenant,roles
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,CLIENT_ASSERTED_TENANT,DISAGREE,super_admin|tenant_owner
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,CLIENT_ASSERTED_TENANT,DISAGREE,super_admin|tenant_owner
POST,/v1/tenants/{tenant_id}/plan/upgrade,TENANT_PROVIDER_MUTATION,PLATFORM_ADMIN_MUTATION,DISAGREE,PRINCIPAL_TENANT,PLATFORM_ADMIN_TARGET_TENANT,DISAGREE,super_admin
POST,/v1/tenants/{tenant_id}/terminate/confirm,TENANT_PROVIDER_MUTATION,PLATFORM_ADMIN_MUTATION,DISAGREE,PRINCIPAL_TENANT,PLATFORM_ADMIN_TARGET_TENANT,DISAGREE,super_admin
DELETE,/v1/tenant/service-areas/{area_id},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
POST,/v1/tenant/service-areas/{area_id}/services,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
POST,/v1/provider/notifications/mark-all-read,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,staff|super_admin|tenant_owner
POST,/v1/provider/notifications/{notification_id}/read,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,PRINCIPAL_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,staff|super_admin|tenant_owner
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,CLIENT_ASSERTED_TENANT,CLIENT_ASSERTED_TENANT,AGREE,super_admin|tenant_owner
GET,/v1/ds/tenants/{tenant_id}/churn/score,TENANT_PROVIDER_READ,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,CLIENT_ASSERTED_TENANT,CLIENT_ASSERTED_TENANT,AGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,PLATFORM_ADMIN_MUTATION,PLATFORM_ADMIN_MUTATION,AGREE,PLATFORM_ADMIN_TARGET_TENANT,PLATFORM_ADMIN_TARGET_TENANT,AGREE,admin_finance|super_admin
