method,path,endpoint,module,behaviour,db_writes,external_effects,audit_effects
GET,/health,health_check,app.engines.health_router,HEALTH_OR_DIAGNOSTIC,,,
GET,/v1/health,health_check_v1,app.engines.health_router,HEALTH_OR_DIAGNOSTIC,,,
GET,/v1/ready,readiness_check,app.engines.health_router,READ_ONLY,,,
GET,/engines,list_engines,app.engine_registry.router,READ_ONLY,,,
GET,/engines/{engine_id},get_engine,app.engine_registry.router,READ_ONLY,,,
GET,/v1/auth/meta,engine_meta,app.engines.auth.router,HEALTH_OR_DIAGNOSTIC,,,
POST,/v1/auth/register/customer,register_customer,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/auth/login,login,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/auth/otp/send,send_otp,app.engines.auth.router,DATABASE_MUTATION,add,,
POST,/v1/auth/otp/verify,verify_otp,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/auth/mfa/verify,verify_mfa,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/auth/mfa/setup,setup_mfa,app.engines.auth.router,DATABASE_MUTATION,add|sqlalchemy.update(),,_audit|record_platform_audit
POST,/v1/auth/mfa/confirm,confirm_mfa,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/mfa/disable,disable_mfa,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/mfa/backup-codes/regenerate,regenerate_backup_codes,app.engines.auth.router,DATABASE_MUTATION,add|sqlalchemy.update(),,_audit|record_platform_audit
POST,/v1/auth/token/refresh,refresh_token,app.engines.auth.router,DATABASE_MUTATION,add|sqlalchemy.update(),,_audit|record_platform_audit
POST,/v1/auth/token/introspect,introspect_token,app.engines.auth.router,READ_ONLY_POST,,,
POST,/v1/auth/logout,logout,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/logout-all,logout_all,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/auth/me,get_me,app.engines.auth.router,READ_ONLY,,,
PUT,/v1/auth/me,update_profile,app.engines.auth.router,DATABASE_MUTATION,add|raw_sql,,_audit|record_platform_audit
PUT,/v1/auth/password/change,change_password,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/password/reset/request,request_password_reset,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/password/reset/confirm,confirm_password_reset,app.engines.auth.router,READ_ONLY_POST,,,
GET,/v1/auth/sessions,list_sessions,app.engines.auth.router,READ_ONLY,,,
DELETE,/v1/auth/sessions/{session_id},revoke_session,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/sessions/{session_id}/approve,approve_device,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/staff/invite,invite_staff,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/auth/staff/invite/accept,accept_invite,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,app.engines.auth.router,DATABASE_MUTATION,add|raw_sql|sqlalchemy.update(),,_audit|record_platform_audit
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,app.engines.auth.router,DATABASE_MUTATION,add|sqlalchemy.update(),,_audit|record_platform_audit
GET,/v1/auth/staff,list_staff,app.engines.auth.router,READ_ONLY,,,
GET,/v1/auth/staff/{user_id},get_staff,app.engines.auth.router,READ_ONLY,,,
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router,DATABASE_MUTATION,raw_sql,,
POST,/v1/auth/impersonate,impersonate,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/auth/impersonate/{session_id}/end,end_impersonation,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/auth/impersonate/active,list_impersonations,app.engines.auth.router,READ_ONLY,,,
POST,/v1/auth/api-keys,create_api_key,app.engines.auth.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
GET,/v1/auth/api-keys,list_api_keys,app.engines.auth.router,READ_ONLY,,,
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
PATCH,/v1/auth/api-keys/{key_id},update_api_key,app.engines.auth.router,DATABASE_MUTATION,add|raw_sql,,_audit|record_platform_audit
GET,/v1/auth/audit-log,get_audit_log,app.engines.auth.router,READ_ONLY,,,
GET,/v1/auth/users,list_users,app.engines.auth.router,READ_ONLY,,,
GET,/v1/auth/users/{user_id},get_user,app.engines.auth.router,READ_ONLY,,,
GET,/v1/auth/permissions/map,get_permissions_map,app.engines.auth.router,READ_ONLY,,,
POST,/v1/auth/change-password-required,change_password_required,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/users/{user_id}/security-status,get_user_security_status,app.engines.auth.router,READ_ONLY,,,
POST,/v1/admin/users/{user_id}/force-password-change,admin_force_password_change,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/send-password-reset,admin_send_password_reset,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/generate-temporary-password,admin_generate_temporary_password,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/users/{user_id}/security,get_full_user_security,app.engines.auth.router,MUTATING_GET,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/lock,lock_user,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/unlock,unlock_user,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/deactivate,admin_deactivate_user,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/reactivate,admin_reactivate_user,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/users/{user_id}/sessions,admin_list_user_sessions,app.engines.auth.router,MUTATING_GET,add,,_audit|record_platform_audit
POST,/v1/admin/users/{user_id}/sessions/revoke-all,admin_revoke_all_user_sessions,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/users/{user_id}/login-history,admin_get_login_history,app.engines.auth.router,MUTATING_GET,add,,_audit|record_platform_audit
GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,MUTATING_GET,add,,_audit|record_platform_audit
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/public/register/initiate,initiate_registration,app.engines.public_registration.router,EXTERNAL_SIDE_EFFECT,,send_sms,
POST,/v1/public/register/confirm-plan,confirm_plan,app.engines.public_registration.router,DATABASE_MUTATION,raw_sql,,
POST,/v1/public/register/verify,verify_otp,app.engines.public_registration.router,READ_ONLY_POST,,,
POST,/v1/public/register/payment-order,create_payment_order,app.engines.public_registration.router,READ_ONLY_POST,,,
POST,/v1/public/register/complete,complete_registration,app.engines.public_registration.router,DATABASE_AND_EXTERNAL_MUTATION,add|commit|flush,send_email|send_sms,
POST,/v1/public/register/webhook/razorpay,razorpay_webhook,app.engines.public_registration.router,READ_ONLY_POST,,,
GET,/v1/admin/platform-users/summary,get_summary,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/admin/platform-users,list_users,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/admin/platform-users/export,export_users,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/admin/platform-users/audit-logs,list_audit_logs,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/admin/platform-users/invites,list_invites,app.engines.auth.platform_users_router,READ_ONLY,,,
POST,/v1/admin/platform-users/invite,invite_user,app.engines.auth.platform_users_router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/admin/platform-users/invites/{invite_id}/resend,resend_invite,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/invites/{invite_id}/revoke,revoke_invite,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/bulk/{action},bulk_action,app.engines.auth.platform_users_router,DATABASE_MUTATION,,,_audit
GET,/v1/admin/platform-users/{user_id},get_detail,app.engines.auth.platform_users_router,READ_ONLY,,,
PUT,/v1/admin/platform-users/{user_id}/role,change_role,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
PUT,/v1/admin/platform-users/{user_id}/access-scope,change_scope,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/suspend,suspend,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/unsuspend,unsuspend,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/deactivate,deactivate,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/reactivate,reactivate,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/lock,lock,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/unlock,unlock,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/require-mfa,require_mfa,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/reset-mfa,reset_mfa,app.engines.auth.platform_users_router,DATABASE_MUTATION,add|sqlalchemy.delete(),,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/force-password-reset,force_password_reset,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/send-reset-link,send_reset_link,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
