method,path,capability,side_effect,persona,tenant_direction,in_denominator,protection,canonical_expectation,manual_confidence,abstention_reason
POST,/v1/tenants/{tenant_id}/data/delete-request,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/reinstate,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenants/{tenant_id}/trial/convert,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
POST,/v1/tenant/service-areas/{area_id}/set-primary,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
PUT,/v1/tenant/service-areas/{area_id},TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,yes,PROTECTED,row_expected,HIGH,
GET,/v1/compliance/consent/users/{user_id},AMBIGUOUS,PURE_READ,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,no_row_read_only,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ANY_AUTHENTICATED,PURE_READ,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT,no,UNPROTECTED_READ_PRIVACY,no_row_read_only,HIGH,
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/inventory/tenants/{tenant_id}/items,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/pricing/tenants/{tenant_id}/zones,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
DELETE,/v1/auth/sessions/{session_id},ANY_AUTHENTICATED,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
POST,/v1/analytics/events/ingest,ANY_AUTHENTICATED,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/appointments/{appointment_id}/reschedule,AMBIGUOUS,DATABASE_MUTATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/auth/staff/{user_id}/invite/resend,AMBIGUOUS,DATABASE_MUTATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,no,UNKNOWN,manual,MEDIUM,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/commerce/warranty/claims,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/dispatch/jobs/{job_id}/dispatch,TENANT_PROVIDER,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,yes,UNPROTECTED_CROSS_TENANT,row_expected,HIGH,
POST,/v1/enterprise/column-preferences/reset,ANY_AUTHENTICATED,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,no,PROTECTED,no_row_self_scoped,HIGH,
