route,primary_capability,basis
provider submit_reply,PROVIDER_REPLY_CREATE,creates the single official ReviewReply; one per review enforced
provider flag_review,PROVIDER_REVIEW_FLAG,creates a ReviewFlag AND sets CustomerReview.status=flagged
customer flag_review,CUSTOMER_REVIEW_FLAG,"same record, distinct persona and ownership rule"
customer submit_review,CUSTOMER_REVIEW_CREATE,creates the review
customer edit_review,CUSTOMER_REVIEW_EDIT,edits own review; resets to pending
admin approve_review,REVIEW_PUBLISH,pending -> approved + visibility public
admin reject_review,REVIEW_REJECT,terminal rejection with reason
admin hide_review,REVIEW_UNPUBLISH,approved -> hidden
admin delete_review,CUSTOMER_REVIEW_DELETE,soft delete
admin resolve_flag,PLATFORM_FLAG_RESOLVE,closes a flag
admin approve_reply / reject_reply,PLATFORM_REVIEW_MODERATE,moderates the provider reply
provider/customer GET detail,FALSE_POSITIVE_NON_MUTATION,read only -- confirmed non-mutating
legacy POST /v1/reviews,DEPRECATED,410 GONE; distinct `reviews` table
app.engines.review flag/get,DISTINCT_MODEL,"operates on `reviews`, not `customer_reviews`"
