method,path,operation_id,requires_auth,primary_tag,summary
GET,/admin/checklist-templates,admin_list_templates_admin_checklist_templates_get,True,admin-checklist-templates,Admin List Templates
POST,/admin/checklist-templates,admin_create_template_admin_checklist_templates_post,True,admin-checklist-templates,Admin Create Template
GET,/admin/checklist-templates/jobs/{job_id},admin_job_checklists_admin_checklist_templates_jobs__job_id__get,True,admin-checklist-templates,Admin Job Checklists
GET,/admin/checklist-templates/{template_id},admin_get_template_admin_checklist_templates__template_id__get,True,admin-checklist-templates,Admin Get Template
POST,/admin/checklist-templates/{template_id}/items,admin_add_template_item_admin_checklist_templates__template_id__items_post,True,admin-checklist-templates,Admin Add Template Item
GET,/admin/quotes/jobs/{job_id},admin_list_job_quotes_admin_quotes_jobs__job_id__get,True,admin-quotes,Admin List Job Quotes
GET,/admin/quotes/{quote_id},admin_get_quote_admin_quotes__quote_id__get,True,admin-quotes,Admin Get Quote
GET,/admin/quotes/{quote_id}/events,admin_quote_events_admin_quotes__quote_id__events_get,True,admin-quotes,Admin Quote Events
GET,/customer/quotes/jobs/{job_id},customer_list_quotes_customer_quotes_jobs__job_id__get,True,customer-quotes,Customer List Quotes
GET,/customer/quotes/{quote_id},customer_get_quote_customer_quotes__quote_id__get,True,customer-quotes,Customer Get Quote
POST,/customer/quotes/{quote_id}/approve,customer_approve_quote_customer_quotes__quote_id__approve_post,True,customer-quotes,Customer Approve Quote
GET,/customer/quotes/{quote_id}/events,customer_quote_events_customer_quotes__quote_id__events_get,True,customer-quotes,Customer Quote Events
POST,/customer/quotes/{quote_id}/reject,customer_reject_quote_customer_quotes__quote_id__reject_post,True,customer-quotes,Customer Reject Quote
POST,/customer/quotes/{quote_id}/request-revision,customer_request_revision_customer_quotes__quote_id__request_revision_post,True,customer-quotes,Customer Request Revision
GET,/health,health_check_health_get,False,Health,Platform health check
GET,/provider/quotes/jobs/{job_id},provider_list_job_quotes_provider_quotes_jobs__job_id__get,True,provider-quotes,Provider List Job Quotes
GET,/provider/quotes/{quote_id},provider_get_quote_provider_quotes__quote_id__get,True,provider-quotes,Provider Get Quote
POST,/provider/quotes/{quote_id}/cancel,provider_cancel_quote_provider_quotes__quote_id__cancel_post,True,provider-quotes,Provider Cancel Quote
GET,/provider/quotes/{quote_id}/events,provider_quote_events_provider_quotes__quote_id__events_get,True,provider-quotes,Provider Quote Events
POST,/staff/checklists,staff_create_checklist_staff_checklists_post,True,staff-checklists,Staff Create Checklist
GET,/staff/checklists/jobs/{job_id},staff_list_job_checklists_staff_checklists_jobs__job_id__get,True,staff-checklists,Staff List Job Checklists
GET,/staff/checklists/{checklist_id},staff_get_checklist_staff_checklists__checklist_id__get,True,staff-checklists,Staff Get Checklist
POST,/staff/checklists/{checklist_id}/complete,staff_complete_checklist_staff_checklists__checklist_id__complete_post,True,staff-checklists,Staff Complete Checklist
PUT,/staff/checklists/{checklist_id}/items/{item_id},staff_update_checklist_item_staff_checklists__checklist_id__items__item_id__put,True,staff-checklists,Staff Update Checklist Item
POST,/staff/quotes,staff_create_quote_staff_quotes_post,True,staff-quotes,Staff Create Quote
GET,/staff/quotes/jobs/{job_id},staff_list_job_quotes_staff_quotes_jobs__job_id__get,True,staff-quotes,Staff List Job Quotes
GET,/staff/quotes/{quote_id},staff_get_quote_staff_quotes__quote_id__get,True,staff-quotes,Staff Get Quote
POST,/staff/quotes/{quote_id}/cancel,staff_cancel_quote_staff_quotes__quote_id__cancel_post,True,staff-quotes,Staff Cancel Quote
GET,/staff/quotes/{quote_id}/events,staff_quote_events_staff_quotes__quote_id__events_get,True,staff-quotes,Staff Quote Events
POST,/staff/quotes/{quote_id}/items,staff_add_item_staff_quotes__quote_id__items_post,True,staff-quotes,Staff Add Item
PUT,/staff/quotes/{quote_id}/items/{item_id},staff_update_item_staff_quotes__quote_id__items__item_id__put,True,staff-quotes,Staff Update Item
DELETE,/staff/quotes/{quote_id}/items/{item_id},staff_remove_item_staff_quotes__quote_id__items__item_id__delete,True,staff-quotes,Staff Remove Item
POST,/staff/quotes/{quote_id}/mark-revised,staff_mark_revised_staff_quotes__quote_id__mark_revised_post,True,staff-quotes,Staff Mark Revised
POST,/staff/quotes/{quote_id}/send-to-customer,staff_send_to_customer_staff_quotes__quote_id__send_to_customer_post,True,staff-quotes,Staff Send To Customer
GET,/v1/admin/ai-chat/logs,admin_list_logs_v1_admin_ai_chat_logs_get,False,Admin AI Chat,Admin: list LLM call logs
GET,/v1/admin/ai-chat/logs/{log_id},admin_get_log_v1_admin_ai_chat_logs__log_id__get,False,Admin AI Chat,Admin: get LLM call log detail
GET,/v1/admin/ai-chat/prompt-templates,list_prompt_templates_v1_admin_ai_chat_prompt_templates_get,False,Admin AI Chat,Admin: list prompt templates
POST,/v1/admin/ai-chat/prompt-templates,create_prompt_template_v1_admin_ai_chat_prompt_templates_post,False,Admin AI Chat,Admin: create prompt template
GET,/v1/admin/ai-chat/prompt-templates/{template_key},get_prompt_template_v1_admin_ai_chat_prompt_templates__template_key__get,False,Admin AI Chat,Admin: get prompt template
PUT,/v1/admin/ai-chat/prompt-templates/{template_key},update_prompt_template_v1_admin_ai_chat_prompt_templates__template_key__put,False,Admin AI Chat,Admin: update prompt template
GET,/v1/admin/ai-chat/sessions,admin_list_sessions_v1_admin_ai_chat_sessions_get,False,Admin AI Chat,Admin: list all AI chat sessions
GET,/v1/admin/ai-chat/sessions/{session_id},admin_get_session_v1_admin_ai_chat_sessions__session_id__get,False,Admin AI Chat,Admin: get session detail
GET,/v1/admin/ai-chat/sessions/{session_id}/messages,admin_get_session_messages_v1_admin_ai_chat_sessions__session_id__messages_get,False,Admin AI Chat,Admin: get session messages
POST,/v1/admin/ai-chat/test-console,admin_test_console_v1_admin_ai_chat_test_console_post,False,Admin AI Chat,Admin: test DeepSeek with a message
GET,/v1/admin/ai/action-logs,admin_list_action_logs_v1_admin_ai_action_logs_get,True,Admin AI Monitoring,List AI action logs
GET,/v1/admin/ai/failed-actions,admin_failed_actions_v1_admin_ai_failed_actions_get,True,Admin AI Monitoring,List blocked and failed AI actions
GET,/v1/admin/ai/metrics,admin_ai_metrics_v1_admin_ai_metrics_get,True,Admin AI Monitoring,Aggregate AI action metrics
GET,/v1/admin/ai/sessions,admin_list_ai_sessions_v1_admin_ai_sessions_get,True,Admin AI Monitoring,List all AI sessions with filters
GET,/v1/admin/ai/sessions/{session_id},admin_get_ai_session_v1_admin_ai_sessions__session_id__get,True,Admin AI Monitoring,Get AI session detail
POST,/v1/admin/ai/sessions/{session_id}/close,admin_close_session_v1_admin_ai_sessions__session_id__close_post,True,Admin AI Monitoring,Close AI session
POST,/v1/admin/ai/sessions/{session_id}/handoff,admin_handoff_session_v1_admin_ai_sessions__session_id__handoff_post,True,Admin AI Monitoring,Mark session as handed off to human
GET,/v1/admin/analytics/categories/performance,get_category_performance_v1_admin_analytics_categories_performance_get,True,Platform Analytics,Get Category Performance
GET,/v1/admin/analytics/categories/{category_id},admin_category_detail_v1_admin_analytics_categories__category_id__get,True,Admin Analytics,Category-specific analytics
GET,/v1/admin/analytics/category-performance,admin_category_performance_v1_admin_analytics_category_performance_get,True,Admin Analytics,Category-level performance metrics
GET,/v1/admin/analytics/complaint-summary,admin_complaint_summary_v1_admin_analytics_complaint_summary_get,True,Admin Analytics,"Complaints, disputes, refunds, rework analytics"
GET,/v1/admin/analytics/complaints/breakdown,get_complaints_breakdown_v1_admin_analytics_complaints_breakdown_get,True,Platform Analytics,Get Complaints Breakdown
GET,/v1/admin/analytics/complaints/summary,get_complaints_summary_v1_admin_analytics_complaints_summary_get,True,Platform Analytics,Get Complaints Summary
GET,/v1/admin/analytics/customers/summary,get_customer_summary_v1_admin_analytics_customers_summary_get,True,Platform Analytics,Get Customer Summary
GET,/v1/admin/analytics/finance/by-vertical,get_finance_by_vertical_v1_admin_analytics_finance_by_vertical_get,True,Platform Analytics,Get Finance By Vertical
GET,/v1/admin/analytics/finance/summary,get_finance_summary_v1_admin_analytics_finance_summary_get,True,Platform Analytics,Get Finance Summary
GET,/v1/admin/analytics/financial-summary,admin_financial_summary_v1_admin_analytics_financial_summary_get,True,Admin Analytics,"Platform financial summary (invoices, payments, commissions, wallet)"
GET,/v1/admin/analytics/geography/summary,get_geography_summary_v1_admin_analytics_geography_summary_get,True,Platform Analytics,Get Geography Summary
GET,/v1/admin/analytics/operational-alerts,get_operational_alerts_v1_admin_analytics_operational_alerts_get,True,Platform Analytics,Get Operational Alerts
POST,/v1/admin/analytics/operational-alerts/{alert_id}/ignore,ignore_alert_v1_admin_analytics_operational_alerts__alert_id__ignore_post,True,Platform Analytics,Ignore Alert
POST,/v1/admin/analytics/operational-alerts/{alert_id}/resolve,resolve_alert_v1_admin_analytics_operational_alerts__alert_id__resolve_post,True,Platform Analytics,Resolve Alert
GET,/v1/admin/analytics/platform/summary,get_platform_summary_v1_admin_analytics_platform_summary_get,True,Platform Analytics,Get Platform Summary
GET,/v1/admin/analytics/platform/trends,get_platform_trends_v1_admin_analytics_platform_trends_get,True,Platform Analytics,Get Platform Trends
GET,/v1/admin/analytics/provider-performance,admin_provider_performance_v1_admin_analytics_provider_performance_get,True,Admin Analytics,Provider performance across all tenants
GET,/v1/admin/analytics/providers/performance,get_provider_performance_v1_admin_analytics_providers_performance_get,True,Platform Analytics,Get Provider Performance
GET,/v1/admin/analytics/providers/{tenant_id},admin_provider_detail_v1_admin_analytics_providers__tenant_id__get,True,Admin Analytics,Single provider analytics
GET,/v1/admin/analytics/quality-summary,admin_quality_summary_v1_admin_analytics_quality_summary_get,True,Admin Analytics,Review and rating analytics
GET,/v1/admin/analytics/quality/summary,get_quality_summary_v1_admin_analytics_quality_summary_get,True,Platform Analytics,Get Quality Summary
POST,/v1/admin/analytics/reports/export,export_report_v1_admin_analytics_reports_export_post,True,Platform Analytics,Export Report
GET,/v1/admin/analytics/staff-performance,admin_staff_performance_v1_admin_analytics_staff_performance_get,True,Admin Analytics,Staff and technician performance analytics
GET,/v1/admin/analytics/summary,admin_analytics_summary_v1_admin_analytics_summary_get,True,Admin Analytics,Platform admin summary dashboard
GET,/v1/admin/audit-logs,admin_list_audit_v1_admin_audit_logs_get,True,Admin Audit Logs,List all platform audit logs
GET,/v1/admin/audit-logs/login-events,admin_list_login_events_v1_admin_audit_logs_login_events_get,True,Admin Audit Logs,Admin login/logout audit trail (login_events table)
GET,/v1/admin/audit-logs/record-timeline,admin_record_timeline_v1_admin_audit_logs_record_timeline_get,True,Admin Audit Logs,Audit timeline for a specific record
GET,/v1/admin/bookability/providers,list_bookability_v1_admin_bookability_providers_get,True,Admin — Provider Management,List Bookability
GET,/v1/admin/bookability/providers/{tenant_id},get_provider_bookability_v1_admin_bookability_providers__tenant_id__get,True,Admin — Provider Management,Get Provider Bookability
GET,/v1/admin/bookability/providers/{tenant_id}/audit-logs,get_bookability_audit_logs_v1_admin_bookability_providers__tenant_id__audit_logs_get,True,Admin — Provider Management,Get Bookability Audit Logs
POST,/v1/admin/bookability/providers/{tenant_id}/override-bookability,override_bookability_v1_admin_bookability_providers__tenant_id__override_bookability_post,True,Admin — Provider Management,Override Bookability
DELETE,/v1/admin/bookability/providers/{tenant_id}/override-bookability,remove_bookability_override_v1_admin_bookability_providers__tenant_id__override_bookability_delete,True,Admin — Provider Management,Remove Bookability Override
POST,/v1/admin/bookability/providers/{tenant_id}/override-visibility,override_visibility_v1_admin_bookability_providers__tenant_id__override_visibility_post,True,Admin — Provider Management,Override Visibility
DELETE,/v1/admin/bookability/providers/{tenant_id}/override-visibility,remove_visibility_override_v1_admin_bookability_providers__tenant_id__override_visibility_delete,True,Admin — Provider Management,Remove Visibility Override
POST,/v1/admin/bookability/providers/{tenant_id}/refresh,refresh_bookability_v1_admin_bookability_providers__tenant_id__refresh_post,True,Admin — Provider Management,Refresh Bookability
GET,/v1/admin/bookability/rules,list_bookability_rules_v1_admin_bookability_rules_get,True,Admin — Provider Management,List Bookability Rules
GET,/v1/admin/bookability/summary,bookability_summary_v1_admin_bookability_summary_get,True,Admin — Provider Management,Bookability Summary
GET,/v1/admin/bookings,list_admin_bookings_v1_admin_bookings_get,True,Admin Bookings,List Admin Bookings
GET,/v1/admin/bookings/export,export_bookings_v1_admin_bookings_export_get,True,Admin Bookings,Export Bookings
GET,/v1/admin/bookings/filters,booking_filter_options_v1_admin_bookings_filters_get,True,Admin Bookings,Booking Filter Options
GET,/v1/admin/bookings/summary,booking_summary_v1_admin_bookings_summary_get,True,Admin Bookings,Booking Summary
GET,/v1/admin/bookings/tenant-search,tenant_search_v1_admin_bookings_tenant_search_get,True,Admin Bookings,Tenant Search
GET,/v1/admin/bookings/{booking_id},get_admin_booking_v1_admin_bookings__booking_id__get,True,Admin Bookings,Get Admin Booking
POST,/v1/admin/bookings/{booking_id}/cancel,admin_cancel_booking_v1_admin_bookings__booking_id__cancel_post,True,Admin Bookings,Admin Cancel Booking
GET,/v1/admin/bookings/{booking_id}/notes,get_booking_notes_v1_admin_bookings__booking_id__notes_get,True,Admin Bookings,Get Booking Notes
GET,/v1/admin/bookings/{booking_id}/timeline,get_booking_timeline_v1_admin_bookings__booking_id__timeline_get,True,Admin Bookings,Get Booking Timeline
POST,/v1/admin/bookings/{booking_id}/void,admin_void_booking_v1_admin_bookings__booking_id__void_post,True,Admin Bookings,Admin Void Booking
GET,/v1/admin/brand-requests,list_brand_requests_v1_admin_brand_requests_get,True,Brand Requests,List brand requests
POST,/v1/admin/brand-requests/{request_id}/approve,approve_brand_request_v1_admin_brand_requests__request_id__approve_post,True,Brand Requests,Approve brand request (creates brand)
POST,/v1/admin/brand-requests/{request_id}/merge,merge_brand_request_v1_admin_brand_requests__request_id__merge_post,True,Brand Requests,Merge brand request into existing brand
POST,/v1/admin/brand-requests/{request_id}/reject,reject_brand_request_v1_admin_brand_requests__request_id__reject_post,True,Brand Requests,Reject brand request
GET,/v1/admin/brand-templates,list_brand_templates_v1_admin_brand_templates_get,True,Brand Templates,List brand templates
POST,/v1/admin/brand-templates,create_brand_template_v1_admin_brand_templates_post,True,Brand Templates,Create brand template
POST,/v1/admin/brand-templates/{template_id}/apply,apply_brand_template_v1_admin_brand_templates__template_id__apply_post,True,Brand Templates,Apply brand template to services
GET,/v1/admin/brands,list_brands_v1_admin_brands_get,True,Brands,List brands
POST,/v1/admin/brands,create_brand_v1_admin_brands_post,True,Brands,Create brand
POST,/v1/admin/brands/bulk-map-services,bulk_map_services_v1_admin_brands_bulk_map_services_post,True,Brands,Bulk map N brands × M services
POST,/v1/admin/brands/seed,seed_brands_v1_admin_brands_seed_post,True,Brands,Seed starter brands
GET,/v1/admin/brands/{brand_id},get_brand_v1_admin_brands__brand_id__get,True,Brands,Get brand detail
PUT,/v1/admin/brands/{brand_id},update_brand_v1_admin_brands__brand_id__put,True,Brands,Update brand
POST,/v1/admin/brands/{brand_id}/activate,activate_brand_v1_admin_brands__brand_id__activate_post,True,Brands,Activate brand
POST,/v1/admin/brands/{brand_id}/archive,archive_brand_v1_admin_brands__brand_id__archive_post,True,Brands,Archive brand
GET,/v1/admin/brands/{brand_id}/category-mappings,list_category_mappings_v1_admin_brands__brand_id__category_mappings_get,True,Brands,List brand's category mappings
DELETE,/v1/admin/brands/{brand_id}/category-mappings/{category_id},unmap_brand_category_v1_admin_brands__brand_id__category_mappings__category_id__delete,True,Brands,Remove brand from category
POST,/v1/admin/brands/{brand_id}/deactivate,deactivate_brand_v1_admin_brands__brand_id__deactivate_post,True,Brands,Deactivate brand
POST,/v1/admin/brands/{brand_id}/map-categories,map_brand_categories_v1_admin_brands__brand_id__map_categories_post,True,Brands,Map brand to categories (bulk)
POST,/v1/admin/brands/{brand_id}/map-services,map_brand_services_v1_admin_brands__brand_id__map_services_post,True,Brands,Map brand to services (bulk)
POST,/v1/admin/brands/{brand_id}/merge,merge_brand_v1_admin_brands__brand_id__merge_post,True,Brands,Merge brand into another (duplicate resolution)
GET,/v1/admin/brands/{brand_id}/service-mappings,list_service_mappings_v1_admin_brands__brand_id__service_mappings_get,True,Brands,List brand's service mappings
DELETE,/v1/admin/brands/{brand_id}/service-mappings/{service_id},unmap_brand_service_v1_admin_brands__brand_id__service_mappings__service_id__delete,True,Brands,Remove brand from service
GET,/v1/admin/bulk-setup/available-brand-templates,get_available_brand_templates_v1_admin_bulk_setup_available_brand_templates_get,True,Admin Bulk Setup Wizard,Get Available Brand Templates
GET,/v1/admin/bulk-setup/available-brands,get_available_brands_v1_admin_bulk_setup_available_brands_get,True,Admin Bulk Setup Wizard,Get Available Brands
GET,/v1/admin/bulk-setup/available-categories,get_available_categories_v1_admin_bulk_setup_available_categories_get,True,Admin Bulk Setup Wizard,Get Available Categories
GET,/v1/admin/bulk-setup/available-checklist-templates,get_available_checklist_templates_v1_admin_bulk_setup_available_checklist_templates_get,True,Admin Bulk Setup Wizard,Get Available Checklist Templates
GET,/v1/admin/bulk-setup/available-commission-templates,get_available_commission_templates_v1_admin_bulk_setup_available_commission_templates_get,True,Admin Bulk Setup Wizard,Get Available Commission Templates
GET,/v1/admin/bulk-setup/available-document-requirements,get_available_document_requirements_v1_admin_bulk_setup_available_document_requirements_get,True,Admin Bulk Setup Wizard,Get Available Document Requirements
GET,/v1/admin/bulk-setup/available-issue-types,get_available_issue_types_v1_admin_bulk_setup_available_issue_types_get,True,Admin Bulk Setup Wizard,Get Available Issue Types
GET,/v1/admin/bulk-setup/available-option-groups,get_available_option_groups_v1_admin_bulk_setup_available_option_groups_get,True,Admin Bulk Setup Wizard,Get Available Option Groups
