module,cross_tenant,identity_credential,permission_role_mgmt,financial_payment,destructive_delete,bulk_operation,external_side_effect,customer_data_privacy,audit_compliance,impersonation_session,client_asserted_tenant,missing_object_ownership,service_layer_bypass,internal_caller_exposure,read_privacy_linkage,route_count,impl_complexity,testability,product_blockers,risk_sum,priority_score
M01_identity_credentials,2,3,3,0,2,0,1,2,3,3,1,3,2,2,2,12,2,3,0,29,35
M02_media_assets,2,0,0,0,2,0,1,2,1,0,1,3,2,1,1,9,2,2,1,16,21
M03_enterprise_grid_views,1,0,0,0,1,0,1,1,1,0,0,2,1,0,1,6,1,3,1,9,14
M04_profile_self_service,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,4,1,3,0,7,11
M05_marketing_automation,1,0,0,0,0,0,2,1,1,0,0,1,1,0,0,3,1,2,1,7,9
M06_security_deposit,3,0,0,3,0,0,1,1,2,0,3,2,2,0,2,3,2,2,2,19,20
M07_provider_catalog_setup,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,1,2,1,4,7
M08_analytics_reports,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,2,1,7,7
M09_rag_knowledge,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,2,1,7,7
M10_webhook_integration,2,0,0,0,2,0,2,0,1,0,3,2,1,0,0,1,1,3,0,13,14
M11_geo_zones,3,0,0,0,2,0,0,0,1,0,0,3,2,0,0,1,1,3,0,11,12
