app,route,disposition_applied,change_this_slice
super-admin,/admin/bookability/providers,PRIMARY_NAVIGATION,Added nav entry (was HIDDEN_BUT_SUPPORTED with zero reachability)
super-admin,/admin/service-invoices,PRIMARY_NAVIGATION,Added nav entry
super-admin,/admin/provider-wallets,PRIMARY_NAVIGATION,Added nav entry
super-admin,/admin/commission-records,PRIMARY_NAVIGATION,Added nav entry
super-admin,/admin/payments,PRIMARY_NAVIGATION,Added nav entry
super-admin,/admin/financial-events,PRIMARY_NAVIGATION,Added nav entry
super-admin,/admin/ai,HIDDEN_BUT_SUPPORTED,No change - confirmed correct per approved CONTEXTUAL_ROUTE-pending-Decision4 disposition
super-admin,/admin/ai-chat,HIDDEN_BUT_SUPPORTED,No change - same as above
super-admin,/admin/real-estate/*,CONTEXTUAL_ROUTE (dynamic),No change - confirmed already correctly dynamic, not static drift
super-admin,/admin/coaching/*,CONTEXTUAL_ROUTE (dynamic),No change - same
super-admin,/admin/reviews,PRIMARY_NAVIGATION,No change - confirmed already targets canonical customer_reviews API
tenant-portal,/provider/reviews,HIDDEN_BUT_SUPPORTED,No change - confirmed zero referrers, already correctly unsurfaced
tenant-portal,/provider/marketing,HIDDEN_BUT_SUPPORTED,No change to the route itself; the ONE real referrer (MarketingLaunchWidget) was repointed to canonical /marketing
tenant-portal,/provider/chat,HIDDEN_BUT_SUPPORTED,No change - confirmed zero referrers
tenant-portal,/staff/home-services/jobs,HIDDEN_BUT_SUPPORTED,No change - not re-investigated for referrers this slice (Phase 1 confirmed duplicate of /staff/jobs)
backend,POST /v1/reviews,BLOCKED,"Changed from live 201-creating endpoint to explicit 410, per non-canonical-entry-restrictions.md"
backend,VALID_TENANT_ROLES set,n/a (data-validation fix, not a route),"Narrowed from 6 to 2 real roles"
super-admin,/admin/users invite-role default,n/a (form default, not a route),"Fixed default value from invalid ""platform_admin"" to real ""admin_readonly"""
super-admin,/admin/tenants/[id] add-user role selector,n/a (form options, not a route),"Removed 3 placeholder options, fixed default"
tenant-portal,/staff/my-work,PRIMARY_NAVIGATION,No disposition change; badge added
