endpoint,initiator,executor,canonical_role,required_permission,required_access_scope,tenant_ownership,coverage_ownership,delegation_proven,sensitive,product_policy_unresolved
create_tenant_service_area,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin via P.ALL),TENANT_SERVICE_AREA_CREATE,mutation-capable,enforced (server-derived tenant_id + _assert_owns_tenant),n/a (new record),NOT proven for staff/technician (permission granted to tenant_owner only),YES (defines where the tenant does business),NO -- ownership evidence is unambiguous
validate_tenant_service_area,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_CREATE,mutation-capable,enforced,n/a,NOT proven for staff/technician,NO (no real mutation),NO
update_tenant_service_area,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_UPDATE,mutation-capable,enforced (area loaded + _assert_owns_tenant),area must belong to caller's tenant,NOT proven for staff/technician,YES,NO
delete_tenant_service_area,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_DELETE,mutation-capable,enforced,area must belong to caller's tenant,NOT proven for staff/technician,YES (removes coverage -- affects matching/booking),NO
set_primary_tenant_service_area,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_UPDATE,mutation-capable,enforced,area must belong to caller's tenant,NOT proven for staff/technician,YES (affects priority/matching),NO
add_service_mapping,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_SERVICE_CREATE,mutation-capable,enforced (via parent area ownership),area + referenced MasterService must be valid/active,NOT proven for staff/technician,YES (enables bookable service coverage),NO
update_service_mapping,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_SERVICE_UPDATE,mutation-capable,enforced,mapping must belong to caller's area,NOT proven for staff/technician,YES (price/SLA changes),NO
delete_service_mapping,tenant_owner,ServiceabilityService,tenant_owner (+ super_admin),TENANT_SERVICE_AREA_SERVICE_DELETE,mutation-capable,enforced,mapping must belong to caller's area,NOT proven for staff/technician,YES (disables coverage -- affects matching),NO
admin_create_service_area,super_admin,ServiceabilityService,super_admin only (PLATFORM_ADMIN granted to no role else),PLATFORM_ADMIN,n/a (platform action),tenant_id explicit URL param -- platform admin acts cross-tenant by design,same as tenant path,n/a (platform-only, not a delegation question),YES,NO
admin_update_service_area,super_admin,ServiceabilityService,super_admin only,PLATFORM_ADMIN,n/a,URL tenant_id cross-checked against loaded area (FINAL-L5-05Q),same,n/a,YES,NO
admin_delete_service_area,super_admin,ServiceabilityService,super_admin only,PLATFORM_ADMIN,n/a,same cross-check,same,n/a,YES,NO
admin_serviceability_test,super_admin,ServiceabilityService,super_admin only,SERVICEABILITY_ADMIN_TEST (granted to no role else),n/a,n/a,n/a,n/a,NO (debug query),NO
check_serviceability,tenant_owner or customer,ServiceabilityService,tenant_owner + customer,SERVICEABILITY_CHECK,n/a (read-like),n/a,n/a,proven (both roles legitimately granted),NO (minor audit-log write),NO
matching_tenants,tenant_owner or customer,ServiceabilityService,tenant_owner + customer,SERVICEABILITY_MATCH,n/a,n/a,n/a,proven,NO (pure read),NO
available_services,customer,ServiceabilityService,customer,SERVICEABILITY_AVAILABLE_SERVICES,n/a,n/a,n/a,proven (customer-only),NO (pure read),NO
create_my_address,customer,ServiceabilityService,customer,CUSTOMER_ADDRESS_CREATE_OWN,n/a (customer's own record, not tenant-scoped),customer_id = caller,n/a,proven (customer-only self-service),NO,NO
update_my_address,customer,ServiceabilityService,customer,CUSTOMER_ADDRESS_UPDATE_OWN,n/a,customer_id = caller,n/a,proven,NO,NO
delete_my_address,customer,ServiceabilityService,customer,CUSTOMER_ADDRESS_DELETE_OWN,n/a,customer_id = caller,n/a,proven,NO,NO
set_default_address,customer,ServiceabilityService,customer,CUSTOMER_ADDRESS_UPDATE_OWN,n/a,customer_id = caller,n/a,proven,NO,NO
