path,endpoint,module,db_writes,external_effects,audit_effects,persona,classification
/v1/admin/users/{user_id}/security,get_full_user_security,app.engines.auth.router,add,,_audit|record_platform_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/users/{user_id}/sessions,admin_list_user_sessions,app.engines.auth.router,add,,_audit|record_platform_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/users/{user_id}/login-history,admin_get_login_history,app.engines.auth.router,add,,_audit|record_platform_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/auth/login-history,get_own_login_history,app.engines.auth.router,add,,_audit|record_platform_audit,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/platform-users/{user_id}/sessions,list_sessions,app.engines.auth.platform_users_router,add,,_audit|record_platform_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/platform-users/{user_id}/login-history,login_history,app.engines.auth.platform_users_router,add,,_audit|record_platform_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/compliance/consent/users/{user_id},list_consents,app.engines.compliance.router,add|raw_sql,,_audit,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/compliance/requests/{request_id}/data-map,get_data_map,app.engines.compliance.admin_router,add|delete|flush,,_audit,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/me/compliance/requests,list_my_requests,app.engines.compliance.customer_router,add|commit,,,CUSTOMER_SELF_SERVICE_MUTATION,INTENTIONAL_MUTATING_GET
/v1/me/compliance/requests/{request_id},get_my_request,app.engines.compliance.customer_router,add|commit,,,CUSTOMER_SELF_SERVICE_MUTATION,INTENTIONAL_MUTATING_GET
/v1/me/compliance/exports/{export_id}/download,download_my_export,app.engines.compliance.customer_router,add|commit,,,CUSTOMER_SELF_SERVICE_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/requests/{request_id},get_my_request,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/exports/{export_id}/download,download_export,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/staff-requests,list_staff_requests,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/staff-requests/{request_id},get_staff_request,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/customer-requests,list_customer_requests,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/provider/compliance/customer-requests/{request_id},get_customer_request,app.engines.compliance.provider_router,add|commit|raw_sql,,_audit,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/ds/tenants/{tenant_id}/churn/score,get_churn_score,app.engines.data_science.router,add|flush,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/ds/tenants/{tenant_id}/churn/factors,get_churn_factors,app.engines.data_science.router,add,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/ds/tenants/{tenant_id}/demand/forecast,get_forecast,app.engines.data_science.router,add|flush,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/ds/tenants/{tenant_id}/pricing/recommendations,pricing_recs,app.engines.data_science.router,add|flush,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,customer_ltv,app.engines.data_science.router,add|flush,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/media/{media_id},get_media_detail,app.engines.media.admin_router,raw_sql,,,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/media/signed/{token},resolve_signed_media,app.engines.media.admin_router,raw_sql,,,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,add|flush,,,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,add|flush,,,TENANT_PROVIDER_MUTATION,INTENTIONAL_MUTATING_GET
/enterprise/exports/{export_id}/download,download_export,app.engines.enterprise_grid.router,commit,,record_platform_audit,MIXED_PERSONA_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/marketing/automation/summary,get_summary,app.engines.marketing_command_center.admin_router,add|flush,,,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/marketing/ai-budget,get_ai_budget,app.engines.marketing_command_center.admin_router,add|flush,,,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/intelligence/data-quality/summary,get_data_quality_summary,app.engines.analytics.intelligence_router,add|commit,,,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
/v1/admin/intelligence/data-quality/checks,list_data_quality_checks,app.engines.analytics.intelligence_router,add|commit,,,PLATFORM_ADMIN_MUTATION,INTENTIONAL_MUTATING_GET
